	PD_whole_tree	chao1	observed_otus
TS181.299047	41.3068	1571.72067039	872.0
TS182.2.299113	53.59245	2107.48192771	1263.0
TS182.299201	50.20381	2022.02857143	1189.0
TS183.2.299060	23.19441	957.974683544	460.0
TS183.298979	28.51196	1170.75862069	543.0
TS184.299203	26.34288	1038.31632653	524.0
TS185.2.298957	33.53954	1469.6875	765.0
TS185.299148	35.23446	1469.09677419	788.0
TS186.299199	24.6165	903.386363636	469.0
TS19.2.298956	28.37032	1193.93333333	691.0
TS19.298958	49.68628	2114.01520913	1417.0
TS190.299218	40.56164	1638.53571429	872.0
TS191.299146	31.2306	1312.28448276	655.0
TS192.299012	35.45278	1532.71428571	772.0
TS193.2.299051	28.73013	1056.1744186	510.0
TS193.299075	25.52169	1037.08108108	459.0
TS194.2.299056	24.82859	931.8	444.0
TS194.299181	28.38216	1096.56122449	556.0
TS195.2.298978	33.11271	1102.83962264	600.0
TS195.299150	30.42438	987.028846154	550.0
TS2.2.299116	30.70558	1166.19354839	462.0
TS2.299130	63.02865	2272.5	1484.0
TS20.2.299090	34.81335	1386.50413223	727.0
TS20.299059	65.29856	2697.22712934	1830.0
TS21.2.299079	40.92832	1641.77777778	884.0
TS21.299189	68.36381	2753.20472441	2016.0
TS22.299221	44.70131	1938.71962617	1099.0
TS23.299159	25.35091	1220.67901235	530.0
TS25.2.299001	42.75851	1572.13245033	836.0
TS25.299024	57.18063	2245.31707317	1337.0
TS26.2.299028	46.7038	2031.15151515	1010.0
TS26.299185	64.01553	2467.13043478	1568.0
TS27.2.299025	32.53469	1127.35869565	548.0
TS27.299223	60.16659	2227.12328767	1331.0
TS28.299120	53.87304	2241.51260504	1325.0
TS29.298974	30.75939	1292.27659574	601.0
TS3.2.299103	27.8621	989.140186916	524.0
TS3.298967	51.25617	1964.6692607	1300.0
TS30.2.299050	32.21244	1062.29268293	602.0
TS30.298973	47.95835	1852.56198347	1240.0
TS31.2.299187	43.66561	1590.57923497	965.0
TS31.299055	73.86043	3052.97260274	2133.0
TS32.2.298970	43.74157	1960.02453988	986.0
TS32.299074	53.7306	2273.26070039	1396.0
TS33.2.299054	24.01311	828.178082192	412.0
TS33.299224	73.90522	3042.00225734	2153.0
TS34.299217	29.6243	1031.51485149	523.0
TS35.298981	44.31116	1891.18978102	891.0
TS37.2.299096	43.48462	1806.75	966.0
TS37.299147	33.77381	1405.10377358	671.0
TS38.2.299081	36.32079	1382.625	705.0
TS38.298997	36.17128	1401.70469799	774.0
TS39.2.299009	32.74464	1207.3	610.0
TS39.299167	43.02147	1617.72251309	975.0
TS4.2.298988	29.29733	1021.52380952	580.0
TS4.299175	41.88896	1801.80473373	1090.0
TS43.299095	36.35571	1468.72222222	723.0
TS44.299183	22.61196	825.267857143	355.0
TS49.2.299169	32.47774	1290.578125	701.0
TS49.298982	52.62506	2175.77112676	1449.0
TS5.2.298961	30.21435	1345.55737705	665.0
TS5.299045	61.71518	2596.8136646	1784.0
TS50.2.299158	31.69205	1379.07092199	758.0
TS50.299027	45.5326	1740.15384615	1289.0
TS51.2.299062	30.3621	1023.65168539	543.0
TS51.299145	61.92234	2442.22440945	1536.0
TS55.2.298952	37.333	1695.00584795	930.0
TS55.298947	36.10899	1646.66470588	904.0
TS56.2.299192	27.89044	987.05	568.0
TS56.299021	41.50034	1766.22535211	1060.0
TS57.2.299112	19.10137	853.246153846	423.0
TS57.299197	21.85856	698.686046512	481.0
TS6.2.299094	31.90827	1326.7826087	684.0
TS6.299086	52.65448	2215.60887097	1320.0
TS61.2.299186	39.49236	1607.81632653	842.0
TS61.299129	17.73014	572.936170213	249.0
TS62.2.299088	34.39752	1321.55483871	770.0
TS62.299066	22.86796	814.366666667	446.0
TS63.2.299109	26.41058	950.378947368	497.0
TS63.299005	24.63863	862.04	420.0
TS64.2.299164	42.18105	1429.41899441	860.0
TS64.299137	41.94789	1564.1372549	856.0
TS65.2.299065	40.27301	1550.71774194	736.0
TS65.299182	34.86966	1390.40952381	638.0
TS66.2.299157	68.00151	2669.92550143	1696.0
TS66.299194	32.9087	985.53125	546.0
TS67.2.299127	29.76316	1485.74489796	626.0
TS67.299039	21.49009	971.022222222	339.0
TS68.2.298971	34.47184	1398.62307692	699.0
TS68.299202	37.10416	1784.21804511	850.0
TS69.2.298972	34.48852	1256.7	695.0
TS69.299058	31.63366	1262.04854369	652.0
TS7.2.299010	34.29593	1536.0952381	714.0
TS7.299061	71.19888	3224.17088608	1898.0
TS70.2.299052	33.23732	1217.06140351	615.0
TS70.299093	30.37114	1137.79518072	519.0
TS71.2.299080	34.31042	1576.94117647	709.0
TS71.298968	38.55134	1711.86466165	800.0
TS72.2.299026	14.12303	568.035714286	190.0
TS72.299209	29.95862	1138.3373494	504.0
TS73.299077	29.87892	1114.73267327	587.0
TS74.2.299132	34.13705	1257.00854701	612.0
TS74.299177	39.76319	1771.5942029	790.0
TS75.2.298948	18.01996	885.175438596	411.0
TS75.299153	15.90642	658.454545455	349.0
TS76.2.299161	45.44835	1996.53846154	1044.0
TS76.299071	37.22141	1427.00671141	761.0
TS77.299105	27.53855	1196.56666667	560.0
TS78.2.299070	27.44594	1115.03191489	548.0
TS78.299102	21.53704	897.6875	368.0
TS8.2.299029	19.0438	623.918367347	269.0
TS8.299198	71.65792	2862.19936709	1935.0
TS82.2.299057	28.24717	1053.83529412	494.0
TS82.299048	23.27408	918.318181818	416.0
TS83.2.299171	35.67625	1616.62773723	781.0
TS83.299134	27.82654	1145.33333333	522.0
TS84.2.298962	29.05237	1060.61627907	518.0
TS84.299191	23.99593	661.828947368	384.0
TS85.2.299119	27.87323	1144.65517241	532.0
TS85.299053	28.43727	1265.2745098	614.0
TS86.2.299219	27.03639	1014.2	522.0
TS86.299064	40.71024	1605.46706587	891.0
TS87.2.298965	30.67277	1154.0	500.0
TS87.299172	38.77435	1507.61016949	715.0
TS88.2.299002	30.04808	1049.64150943	556.0
TS88.299013	24.91286	910.0	493.0
TS89.2.299023	40.21662	1507.35057471	882.0
TS89.299011	34.34251	1537.2	671.0
TS9.2.298969	32.75697	1358.97637795	702.0
TS9.299144	52.21978	2112.04115226	1375.0
TS90.2.299200	35.40609	1477.38842975	708.0
TS90.298953	37.11574	1499.89189189	692.0
TS91.2.299008	31.00469	1328.57894737	610.0
TS91.299152	19.34718	821.8	301.0
TS92.2.299118	33.03836	1383.15909091	707.0
TS92.299206	28.36677	1142.52542373	604.0
TS94.2.299160	37.0722	1139.27272727	647.0
TS94.299193	31.23958	1168.33333333	526.0
TS95.2.299006	33.74542	1155.26923077	588.0
TS95.299180	35.0741	1120.88793103	627.0
TS96.2.299214	40.5378	1470.57983193	717.0
TS96.299089	28.26873	1022.20253165	477.0
TS97.2.299190	33.67644	1454.53061224	755.0
TS97.299015	29.30505	1222.03	583.0
TS98.2.299041	30.75444	1277.71794872	659.0
TS98.299220	26.77019	900.378378378	551.0
TS99.2.299069	22.85991	692.911764706	409.0
