	PD_whole_tree	chao1	observed_otus
TS186.299199	20.733	821.875	370.0
TS19.2.298956	17.16854	807.158730159	367.0
TS19.298958	22.91052	1045.0	451.0
TS190.299218	27.918	1161.25925926	487.0
TS191.299146	21.68605	933.328125	395.0
TS192.299012	22.57966	928.358490566	369.0
TS193.2.299051	24.30298	812.554054054	402.0
TS193.299075	23.53392	973.051724138	397.0
TS194.2.299056	21.5956	769.630769231	368.0
TS194.299181	24.49727	1052.19672131	421.0
TS195.2.298978	24.76252	969.06	381.0
TS195.299150	24.41339	781.402985075	378.0
TS2.2.299116	27.02028	881.775862069	379.0
TS2.299130	26.87088	722.888888889	376.0
TS20.2.299090	21.7612	911.132075472	370.0
TS20.299059	25.48273	1255.31034483	456.0
TS21.2.299079	21.70358	838.0	360.0
TS21.299189	27.24156	1255.53012048	507.0
TS22.299221	26.70682	1188.26388889	466.0
TS23.299159	20.94132	899.185714286	407.0
TS25.2.299001	26.55386	820.378378378	393.0
TS25.299024	25.27693	1069.01886792	399.0
TS26.2.299028	28.01091	1307.16666667	443.0
TS26.299185	25.77441	822.737704918	372.0
TS27.2.299025	27.87626	930.391891892	436.0
TS27.299223	24.48042	860.169491525	370.0
TS28.299120	27.88689	1206.03488372	508.0
TS29.298974	23.1797	796.363636364	405.0
TS3.2.299103	23.6208	837.638554217	413.0
TS3.298967	26.08276	1075.5625	473.0
TS30.2.299050	23.04716	770.9	368.0
TS30.298973	23.91051	1100.12987013	466.0
TS31.2.299187	24.27651	1002.06060606	406.0
TS31.299055	27.11064	1378.87878788	485.0
TS32.2.298970	26.40159	1099.19736842	469.0
TS32.299074	23.23456	1181.58490566	418.0
TS33.2.299054	21.41426	681.615384615	344.0
TS33.299224	29.00198	1332.0	513.0
TS34.299217	27.90803	1140.87671233	472.0
TS35.298981	29.50327	902.563218391	460.0
TS37.2.299096	26.56356	1044.76470588	437.0
TS37.299147	23.93317	918.901639344	388.0
TS38.2.299081	28.31901	1061.03947368	463.0
TS38.298997	27.01338	1020.61111111	485.0
TS39.2.299009	26.53816	1104.0	459.0
TS39.299167	24.29199	1016.28125	419.0
TS4.2.298988	21.13146	740.588235294	370.0
TS4.299175	20.8686	903.046875	401.0
TS43.299095	26.53137	1206.56060606	462.0
TS49.2.299169	20.85831	841.103448276	363.0
TS49.298982	21.68512	883.581081081	418.0
TS5.2.298961	18.99315	801.158730159	361.0
TS5.299045	22.26315	1087.84375	424.0
TS50.2.299158	18.97464	982.5	355.0
TS50.299027	20.36184	979.417910448	413.0
TS51.2.299062	20.64055	691.5	324.0
TS51.299145	25.92847	1380.02173913	418.0
TS55.2.298952	20.14842	936.75862069	374.0
TS55.298947	23.25349	1177.68	467.0
TS56.2.299192	15.94775	678.56097561	290.0
TS56.299021	22.12371	1194.04918033	444.0
TS57.2.299112	16.00587	712.538461538	326.0
TS57.299197	11.90274	362.588235294	202.0
TS6.2.299094	20.04137	809.270833333	330.0
TS6.299086	25.97089	1100.125	452.0
