Feature_id	Mean_decrease_in_accuracy	Standard_deviation
171617	0.0091727809256447	0.00140257635410622
189721	0.00875082740530883	0.00183243835938084
337724	0.00727745785775972	0.00158719214326009
214919	0.00674356023405559	0.0021976262504353
1106614	0.00645027255080661	0.00208207393748358
1106862	0.00459908639348268	0.000990408436935518
261350	0.00459173432518634	0.00149896981594186
306275	0.0044364556358674	0.0012295783286433
177427	0.00411855687140517	0.00200326312973842
215751	0.0036348010718212	0.00159961287505498
266860	0.00332479611891377	0.000973104592484583
194628	0.00296426840101763	0.000984334703141313
196947	0.00282849393039022	0.0010287736983086
175706	0.00264381114155882	0.00096347837729101
228391	0.00258478485910374	0.00123669073715068
349798	0.00250788782596832	0.00112842563196834
1992	0.00247775925313077	0.000815473223336645
276386	0.00239017704775445	0.00103197570353364
204088	0.00236990769722194	0.000760267401808803
2435303	0.00229926754446104	0.000944807524799547
186760	0.00222256283448234	0.000859419663802094
189843	0.00220044227616209	0.00126391148153385
4403349	0.00203410667076302	0.000610582599040182
272978	0.00201646016350351	0.000609484485350282
311286	0.00201075074478325	0.000886517935410467
185441	0.00200184644303065	0.000939435131122216
4327323	0.00192437829542319	0.000905257363861575
228310	0.0018491513989966	0.00155252175759741
310751	0.00180225398956049	0.000933920432013788
269873	0.00178175342029831	0.000914331284831656
190652	0.00168185263223189	0.000754670773297866
189907	0.00167783930293992	0.00105047815929293
198865	0.00164587435698117	0.000704527051296534
198026	0.0016325755943403	0.000604155290962864
182583	0.00162672424324901	0.000918157818636597
265793	0.00161963493163184	0.00083531267900389
161993	0.001550707506288	0.000700299702390818
234121	0.00150110569169393	0.00081388606479615
185550	0.0014923800537268	0.000695149166555712
321972	0.00148734548389347	0.000490416065553582
4343528	0.00147012514403381	0.0013130912307321
318162	0.00142300257619917	0.00111505197512175
198686	0.0014076868547689	0.00125532562231867
332608	0.0013701888342136	0.000764987483728017
214360	0.0013641903590046	0.000938118405664475
307416	0.00134548237967743	0.000995843486472396
192852	0.00131960008429823	0.000946037575645977
113397	0.00131287817445712	0.000875426232840718
210056	0.00130993119539559	0.000938124875738619
206213	0.00129596799743085	0.000661597359303152
264093	0.00127962359965456	0.000662967712970364
309302	0.00126629488932121	0.00103431179099222
266120	0.00122944907861317	0.00075060560580562
209028	0.00119540614528231	0.000657380869795776
228601	0.00117500652426349	0.000969686923453588
198753	0.00114676218346497	0.000886451883860658
263106	0.00111463736641755	0.000929185176308802
430219	0.00110859582024443	0.000824829792491087
205160	0.00110560465935853	0.000745184254819693
4390755	0.0011034807547114	0.000983875689525715
265029	0.00108506205181128	0.000880550730694526
160720	0.00107616943857656	0.000808986695396491
174651	0.00107369977459761	0.000624095755838168
214159	0.00104472045498361	0.00070801331081912
