Feature_id	Mean_decrease_in_accuracy	Standard_deviation
331476	0.0027104692006154	NA
4408801	0.00224329107772791	NA
176332	0.00160550464694977	NA
177224	0.00156073686312166	NA
564140	0.00134647967930922	NA
210647	0.000956645225564292	NA
184036	0.000950381692250588	NA
522511	0.000942609935203792	NA
198751	0.000940796073874018	NA
184610	0.000929481088035684	NA
988932	0.000924725864596329	NA
1076557	0.000903849323032307	NA
3272632	0.0008558924593314	NA
4472721	0.00075178451983848	NA
2383341	0.000703786352060934	NA
366068	0.000696337572541171	NA
191112	0.000662718153203691	NA
359538	0.000649874539844257	NA
174730	0.000640974313940772	NA
198127	0.000632448579555286	NA
128205	0.000630996109820767	NA
495396	0.00062406134627359	NA
179637	0.000595738022265308	NA
182456	0.000575214498212034	NA
4430826	0.000573344236454769	NA
3398712	0.000572247928275643	NA
2341726	0.000572189264848425	NA
193915	0.000556489159058559	NA
3152469	0.000550530578476881	NA
2920309	0.000548119008491928	NA
172777	0.000526816737472573	NA
577170	0.000516474224564928	NA
194672	0.000509115188402572	NA
4449236	0.000476573715525118	NA
2789595	0.000474812336305709	NA
180045	0.000460783944296411	NA
4120404	0.000460696795442731	NA
191928	0.000456382356594745	NA
4008675	0.000449980714274559	NA
112891	0.00044756960637619	NA
181269	0.000424985209842723	NA
1677528	0.00042087401125907	NA
176071	0.000418344205819288	NA
180468	0.000413923469663724	NA
4325533	0.000405387806883045	NA
357046	0.000380146262544164	NA
701221	0.000377223915171206	NA
4381092	0.000372316754205165	NA
2185268	0.000361833267679464	NA
183039	0.000361527490822681	NA
364903	0.000357013354787306	NA
580008	0.000351392131089718	NA
196878	0.000348941591721072	NA
1836848	0.000344436162845062	NA
215963	0.000337494057849121	NA
367909	0.000335950919042217	NA
1139769	0.000331808981995599	NA
178773	0.00032910715145803	NA
4354042	0.00032892795615922	NA
177878	0.000323036829520028	NA
4356060	0.00031969599307559	NA
272964	0.000316286011033762	NA
99373	0.000313839750037702	NA
177754	0.000312595168739845	NA
559527	0.000311950422846078	NA
