Feature_id	Mean_decrease_in_accuracy	Standard_deviation
193666	0.00103520311116425	0.000514827852336538
193008	0.0010059511635225	0.000336199585057155
514272	0.000934664869523836	0.000284328002137443
179692	0.000869557901830489	0.000382416707477094
661266	0.000859133074193955	0.000443067185620809
198102	0.000760268934851557	0.000406541992483332
1820513	0.000731089768315811	0.000288374946185373
187998	0.000700684232379913	0.00036266410365852
182986	0.000669425754859959	0.000404335291625656
4427366	0.00064886329261065	0.000373093729710053
4445028	0.000622980191208179	0.00038619133224798
185190	0.000494606470608233	0.000298123342626432
180090	0.000491266225099043	0.000244768182106484
307661	0.000461121266454037	0.000190924203690583
197204	0.000412113244445897	0.000242072438511116
174403	0.000396585124462326	0.000240488264855148
177552	0.000362010819568103	0.000192275732494888
145575	0.000354129855902008	0.000197159280894723
2600155	0.00033500176843027	0.000220420992991158
181759	0.000318732687988778	0.000279433567202091
308333	0.000315967370986132	0.000216583459815374
361722	0.000306729584125696	0.000194441556412554
179644	0.000297047524716509	0.000239793913587696
359762	0.000291025360280838	0.000228092209701858
362094	0.000282254650172441	0.000212679402783002
174943	0.000276008899148718	0.000181773798592759
193786	0.000275383733625808	0.000190209887330635
183385	0.00025528834447903	0.000237803858164614
199034	0.00025233344771238	0.000170165121480919
185286	0.000241688584737521	0.0001972946508994
179362	0.000192812233856221	0.000128604115188225
186090	0.000191736930569656	0.000192603161898953
173863	0.000191339256876841	0.000154193708056307
197022	0.000188717065115377	0.000118119437549516
189828	0.00018109395750078	0.000116933004279221
3638321	0.000174635784280841	0.000145449319393731
195149	0.000161951142979029	0.000151339779000245
294606	0.000156546071254762	9.09022030735237e-05
4217963	0.00015222309940253	0.00015180959010542
333580	0.000151223109741952	0.000135097467917313
187180	0.000150521612623753	0.000145231572336281
105440	0.000150244480411254	9.69875356543468e-05
368117	0.000137108918915284	0.000132598619839344
361811	0.000135153241726899	7.93620254427108e-05
198119	0.000134127151801436	0.000113054074863283
4387344	0.000133977197018956	0.000148150417773303
188706	0.000133102002626582	0.000170762283861601
176833	0.000126373821847049	0.000132610239328351
363358	0.000125190388420717	0.000176206739430654
174041	0.000123556720216564	0.000113631236500531
189996	0.000118364204796128	0.000142971306881616
357449	0.000116825551824752	0.000148352489649987
145765	0.000115278448471692	7.50089633052001e-05
358749	0.000113899616717364	0.000114917813005958
196253	0.000110908729999949	0.0001105680143598
185814	0.00010999691104351	0.000119793543865745
194868	0.00010943025271153	0.000105992549055543
188971	0.000103139908541392	0.000103180006933068
323325	0.000101188447922863	0.000108784834784415
199243	0.000100255637296109	6.56789155402067e-05
187077	0.000100253778954093	8.35712992915904e-05
4409730	0.000100000550465353	0.000103390067217659
194610	9.89771643499725e-05	0.000100874958241942
3150722	9.8338084922342e-05	7.89178587183671e-05
312628	9.59490933656496e-05	9.71119980629816e-05
317993	9.3042306064289e-05	0.000118622049350993
189007	9.26109718173618e-05	9.95084870264838e-05
184386	9.26051737109242e-05	0.00013420119791076
3856408	8.73820606704345e-05	9.21011227128875e-05
187533	8.70938767940226e-05	0.000107931232295141
305394	8.64648621152749e-05	9.46500583182444e-05
319996	8.62318116648098e-05	0.000162696038639167
192339	8.53021044999882e-05	8.34118092319548e-05
189760	8.30580431764463e-05	0.000113578114879594
184084	8.24067598926334e-05	0.000107034396213679
335906	8.09461474592483e-05	0.000108505413790236
180529	8.07350742847866e-05	9.37282868403177e-05
182224	7.8964386809441e-05	6.56999961403894e-05
328659	7.71353254057916e-05	7.38519785324345e-05
3991008	7.66083864722968e-05	0.000103345233448853
2487129	7.61923737456109e-05	0.000118005192899267
366352	7.42000359861745e-05	7.72965692469328e-05
179358	7.33368075899331e-05	8.40526852404913e-05
3943183	7.32633800284087e-05	0.000120504295352857
353149	7.20678884218388e-05	0.000130914615229554
185244	7.15390471235968e-05	9.6393364703053e-05
368127	6.9105467928267e-05	7.00976403362631e-05
291982	6.86472129856673e-05	7.63557511258787e-05
365496	6.7405510445731e-05	7.84136518817725e-05
186772	6.55397185145394e-05	0.000161260175943556
193098	6.55297801644801e-05	0.000117983265097951
198059	6.54492705944004e-05	0.000111338881088814
360311	6.40277947327164e-05	0.000100682877903009
173565	6.38696633225115e-05	9.47270186307222e-05
191276	5.96698174568582e-05	9.12076800448606e-05
217109	5.90028096428129e-05	8.69948856765948e-05
176014	5.76236031906087e-05	8.79808396910495e-05
34139	5.70438997022405e-05	8.09223429960569e-05
161007	5.56682832732741e-05	7.0533459911615e-05
189679	5.52111467103496e-05	7.85898092293428e-05
189110	5.45665399760655e-05	9.83882974683753e-05
340761	5.39875330007649e-05	7.06283478909894e-05
187572	5.38406681562041e-05	6.88028396968609e-05
199702	5.37280157663441e-05	5.37951820399132e-05
2065341	5.29163579552878e-05	8.43097603857513e-05
319681	5.27226198245771e-05	6.11080170000133e-05
175438	5.24778782116607e-05	9.74439258303186e-05
4402605	5.23588802886659e-05	5.17691709258536e-05
4447072	5.20863054588195e-05	6.86896481989076e-05
3023610	5.20368403363666e-05	8.48987716114318e-05
4413347	4.93175181218792e-05	0.000109546901430663
4429963	4.84853575200079e-05	6.68819270910275e-05
262484	4.82888177842211e-05	7.5318535705533e-05
176750	4.81533787070431e-05	0.000104790830091862
186775	4.74920600619735e-05	0.000116022271929374
4371302	4.65558858653079e-05	6.01582082526309e-05
342802	4.6171402704978e-05	7.16750946868608e-05
3393191	4.59445179004003e-05	5.85264597105717e-05
198788	4.42603626012151e-05	6.63137536413879e-05
181828	4.39533017571494e-05	7.04981885863211e-05
4389571	4.32119782182993e-05	6.87602656997932e-05
4412546	4.13874842170742e-05	5.48892252744449e-05
199065	4.13480059067154e-05	3.97531870235074e-05
300417	4.03967960168792e-05	5.20407294725134e-05
4396298	3.98423379403416e-05	6.94161022772101e-05
307984	3.95903234050917e-05	8.43121269999278e-05
297635	3.9200452451172e-05	5.67761974783479e-05
193709	3.88028638028638e-05	5.53582911672135e-05
177581	3.82425859124485e-05	9.74588621716667e-05
4418496	3.79729156619913e-05	7.28938925496441e-05
907096	3.78790833939539e-05	8.61071341826636e-05
355424	3.64709204068435e-05	5.9557524301311e-05
190638	3.64082090745687e-05	9.07917962417661e-05
308907	3.61940933308695e-05	4.80974184605297e-05
4295743	3.59879584017515e-05	7.18809011120442e-05
4469167	3.58135468823005e-05	8.696246701637e-05
193188	3.45108246060277e-05	7.75226858861499e-05
197221	3.44328591964814e-05	7.75203002123927e-05
175898	3.41583445793972e-05	4.92828546610031e-05
199534	3.406440831391e-05	5.25007959063875e-05
181467	3.40576992275074e-05	4.49359441261337e-05
176401	3.39521031594246e-05	7.42164353307849e-05
196315	3.33901149795502e-05	7.04908253518438e-05
4039230	3.31227267913306e-05	4.00977107135903e-05
303326	3.29193771090762e-05	8.42923061837847e-05
581201	3.23135925094323e-05	5.48007465482538e-05
325437	3.20374429500254e-05	3.92341174560808e-05
4029584	3.17557049567459e-05	5.54420036758984e-05
3600504	3.15789473684211e-05	9.98613997947909e-05
187841	3.15680658139675e-05	7.69191852203238e-05
198636	3.12445721583653e-05	3.58408574476847e-05
202162	3.07360910486291e-05	5.93805769411812e-05
177493	3.05889724310777e-05	6.39819853486547e-05
545038	3.04636104636105e-05	5.89405063302573e-05
359044	3.04173697871778e-05	0.000127869625161968
197111	2.98897665964176e-05	5.45497050666043e-05
192566	2.96567717996289e-05	4.18629982637937e-05
279340	2.96028849939709e-05	4.57713420740876e-05
347575	2.94947051550825e-05	5.84030620336511e-05
187388	2.93818590815254e-05	0.000106561399249993
195719	2.91582129927995e-05	4.79168308732684e-05
3439403	2.91467279123179e-05	5.18268784118377e-05
178957	2.88357256778309e-05	4.76226537142668e-05
591818	2.88090758045289e-05	4.21051664219865e-05
4427688	2.84977433913604e-05	5.09554975182493e-05
192015	2.83834586466165e-05	6.22824036721013e-05
129401	2.8370402576731e-05	4.92505981561335e-05
2280817	2.8326116776226e-05	5.67964626599274e-05
174365	2.82949446395587e-05	7.58561556961116e-05
2442708	2.82377070541309e-05	6.78546128908107e-05
279048	2.80732719392567e-05	6.68450897111475e-05
181960	2.80720190556256e-05	4.07902718263199e-05
190691	2.804891313693e-05	5.40631873353829e-05
185568	2.8e-05	8.85437744847146e-05
4375646	2.8e-05	8.85437744847146e-05
363519	2.79535342581454e-05	4.47008086746419e-05
174749	2.76890465296871e-05	6.46391068149036e-05
321106	2.76809911758542e-05	7.91474593694354e-05
174163	2.70817643451815e-05	7.24150044519264e-05
367542	2.6877239857671e-05	8.06830028959882e-05
3338600	2.68745682812981e-05	6.89482144669631e-05
2544615	2.65977878272981e-05	9.30407631164798e-05
191421	2.62287712287712e-05	5.93467250278756e-05
365717	2.59937304075235e-05	5.92446389796776e-05
4401580	2.59852223918466e-05	5.62062145708824e-05
175741	2.56450382312451e-05	6.6195746404161e-05
105501	2.54462096605263e-05	5.72977104066587e-05
372146	2.54366811011937e-05	4.53971911484698e-05
48084	2.53878497664834e-05	6.07749473761775e-05
189630	2.5363846495922e-05	6.06243374069219e-05
177697	2.50943396226415e-05	6.7269435930466e-05
189708	2.50649350649351e-05	7.92622842094152e-05
149437	2.45521668957112e-05	3.83725202904238e-05
2318217	2.41318132380694e-05	3.23277039308385e-05
210542	2.40822081638952e-05	3.52549599792372e-05
307978	2.40777639978304e-05	6.5819664424794e-05
193780	2.4056284779746e-05	7.93724364476756e-05
364563	2.40153746419337e-05	9.12784125532673e-05
184525	2.37386569872958e-05	5.52636661653278e-05
3563235	2.3546410998195e-05	6.76047248839437e-05
4453773	2.33052223366454e-05	4.32011308216802e-05
195801	2.27532951194904e-05	7.78057284763725e-05
122656	2.23444077272027e-05	3.93859624041532e-05
176806	2.23440788744876e-05	4.55022483870435e-05
179408	2.23028089090651e-05	3.10161926547176e-05
194079	2.22369340542131e-05	4.02619932033711e-05
524842	2.21041517820958e-05	4.6255068368471e-05
2876801	2.20417395690484e-05	5.71213587436026e-05
175138	2.20001532533144e-05	3.59450381921485e-05
195436	2.1995337995338e-05	3.06339849804705e-05
25842	2.1973516679399e-05	3.15310190367116e-05
187751	2.19419968452422e-05	3.16030089399352e-05
347553	2.14424951267057e-05	4.78278524225548e-05
367909	2.11386353759235e-05	4.80115446291362e-05
4390319	2.10785824345146e-05	4.44717336697783e-05
290696	2.10195944406471e-05	2.94809267680589e-05
352617	2.10000158820914e-05	3.68342617892054e-05
2124531	2.09667294413057e-05	4.6519353699029e-05
361927	2.09019091507571e-05	3.61545445172614e-05
389371	2.08682692615529e-05	4.59489280915462e-05
271430	2.04679802955665e-05	5.33702726732271e-05
347690	2.03065512471614e-05	3.79214348758416e-05
