	007-1	011-1	014-1	021-1	023-1	024-1	026-1	027-1	028-1	029-1	030-1	033-1	034-1	035-1	037-1	038-1	039-1	040-1	041-1	043-1	044-1	046-1	047-1	050-1	051-1	052-1	055-1	057-1
038-1	0.4284727	0.34542153	0.24118469	0.74774465	0.35174904	0.2114796	0.39356935	0.3438952	0.2818433	0.42947661	0.37090855	0.50293296	0.30650653	0.34147208	0.35542806	0.0	0.42261063	0.34087136	0.55289661	0.29782249	0.37953502	0.46870593	0.34536721	0.717459	0.32966564	0.30924342	0.45712114	0.32695331
039-1	0.60484843	0.46683992	0.36814654	0.55563608	0.37647395	0.43262365	0.48811288	0.32158201	0.46837385	0.57773208	0.35540108	0.32142471	0.36134228	0.36767481	0.38031229	0.42261063	0.0	0.46576863	0.34630524	0.42634636	0.50889441	0.35398064	0.42855974	0.76934575	0.43567083	0.48741321	0.27560829	0.39287824
040-1	0.57027946	0.37635573	0.30279627	0.76454063	0.37973976	0.25721696	0.38359027	0.40026314	0.18474068	0.49575413	0.38196577	0.51329326	0.23683355	0.35130826	0.33463028	0.34087136	0.46576863	0.0	0.54631217	0.15570801	0.50012566	0.50899221	0.24221723	0.7440297	0.25852024	0.3664313	0.47036186	0.30838951
041-1	0.72803565	0.6171485	0.50605784	0.38924566	0.44008627	0.56779079	0.61672122	0.44393405	0.55892133	0.63541656	0.43048182	0.20523771	0.44388648	0.46236585	0.44783429	0.55289661	0.34630524	0.54631217	0.0	0.51606848	0.62626171	0.38422052	0.5350138	0.84167475	0.54341137	0.60067133	0.26178721	0.47549036
043-1	0.53493439	0.36252938	0.28597098	0.73446312	0.33150591	0.24049433	0.37973482	0.37836909	0.17756257	0.45544274	0.32578002	0.47606113	0.1777424	0.29904965	0.27914947	0.29782249	0.42634636	0.15570801	0.51606848	0.0	0.46241027	0.4676107	0.2327396	0.73108545	0.23793121	0.33060729	0.42357721	0.2483617
044-1	0.4834248	0.49270691	0.38881635	0.76778147	0.39934056	0.38331586	0.33577765	0.4725166	0.46407584	0.31125881	0.50288375	0.57788842	0.45051101	0.35611364	0.48221122	0.37953502	0.50889441	0.50012566	0.62626171	0.46241027	0.0	0.43151321	0.46680467	0.59715544	0.49683156	0.38829144	0.5467809	0.48334581
046-1	0.58231573	0.58901504	0.4762646	0.5591392	0.27746175	0.46839473	0.56327776	0.42496551	0.45760143	0.39471508	0.37941696	0.32308515	0.37980128	0.30181841	0.40715229	0.46870593	0.35398064	0.50899221	0.38422052	0.4676107	0.43151321	0.0	0.50827674	0.81095967	0.50936215	0.41899909	0.32785051	0.41224052
047-1	0.56956001	0.40349402	0.30136242	0.73461826	0.36520679	0.32126103	0.37620042	0.32016819	0.28597313	0.44171488	0.34054122	0.50974519	0.27477876	0.35103969	0.32922773	0.34536721	0.42855974	0.24221723	0.5350138	0.2327396	0.46680467	0.50827674	0.0	0.73898069	0.23341079	0.36417391	0.44248301	0.28556016
050-1	0.76022376	0.67857603	0.72901671	0.92066487	0.78949468	0.7141848	0.50662649	0.74293686	0.71479546	0.62722169	0.78718289	0.80741258	0.73441225	0.75208408	0.7658118	0.717459	0.76934575	0.7440297	0.84167475	0.73108545	0.59715544	0.81095967	0.73898069	0.0	0.75156206	0.72714948	0.80042964	0.76330035
051-1	0.57985652	0.37894417	0.32649653	0.77023119	0.36301204	0.2994751	0.42453669	0.34741326	0.2810777	0.42947737	0.34631243	0.5046328	0.29533895	0.37360276	0.32709304	0.32966564	0.43567083	0.25852024	0.54341137	0.23793121	0.49683156	0.50936215	0.23341079	0.75156206	0.0	0.3329812	0.44627816	0.26606367
052-1	0.5194716	0.32361997	0.35758933	0.81471503	0.28772112	0.2823689	0.38092483	0.37032778	0.27811952	0.31480703	0.38922427	0.55745822	0.33130567	0.25691666	0.35606774	0.30924342	0.48741321	0.3664313	0.60067133	0.33060729	0.38829144	0.41899909	0.36417391	0.72714948	0.3329812	0.0	0.48508842	0.34958525
055-1	0.64786994	0.53022865	0.44759811	0.50633861	0.34303136	0.47268288	0.53173755	0.3408352	0.46447644	0.55121117	0.33004139	0.2340842	0.36467293	0.38518136	0.36204236	0.45712114	0.27560829	0.47036186	0.26178721	0.42357721	0.5467809	0.32785051	0.44248301	0.80042964	0.44627816	0.48508842	0.0	0.36746133
057-1	0.55826659	0.41344524	0.34605574	0.6912788	0.26074691	0.31944189	0.4341053	0.33788235	0.29809867	0.4381101	0.18946832	0.41060763	0.20878262	0.28511931	0.24860111	0.32695331	0.39287824	0.30838951	0.47549036	0.2483617	0.48334581	0.41224052	0.28556016	0.76330035	0.26606367	0.34958525	0.36746133	0.0
