	PD_whole_tree	chao1	observed_otus
EM148.441631	51.73493	2096.2972973	1431.0
EM149.441655	64.5173	2506.53333333	1737.0
EM150.441648	55.63911	2281.12916667	1497.0
EM151.441595	51.64875	1788.2	1199.0
EM152.441730	49.02746	2138.33783784	1345.0
EM155.441678	46.69087	1634.05479452	1152.0
EM156.441613	50.25421	1864.04608295	1235.0
EM158.441731	49.1299	1801.7635468	1214.0
EM159.441719	51.79851	1771.99456522	1173.0
EM160.441703	64.59891	2537.53684211	1802.0
EM161.441598	0.78797	3.0	2.0
EM162.441728	65.77711	2687.17857143	1608.0
EM163.441642	63.83945	2640.15517241	1710.0
EM165.441597	56.4707	2250.81276596	1463.0
EM166.441748	45.33718	1800.46835443	1036.0
EM167.441702	46.20443	1479.01694915	1003.0
EM168.441668	50.70129	1754.61926606	1214.0
EM169.441653	55.44093	1990.25	1314.0
EM170.441651	51.12337	1783.03061224	1144.0
EM173.441754	58.40591	2209.012	1434.0
EM174.441652	45.75151	1689.99481865	1143.0
EM178.441705	56.52634	1891.50462963	1307.0
EM179.441612	45.49937	2049.76439791	1285.0
EM180.441692	35.15072	1319.38461538	821.0
EM182.441681	45.04698	1576.99350649	1051.0
EM183.441654	47.92383	1740.18181818	1087.0
EM209.441665	28.25164	1087.1559633	783.0
EM222.441725	68.01447	2748.971875	1802.0
EMC01.441661	62.27733	2719.53267974	1752.0
EMC02.441750	49.24525	2211.50490196	1298.0
EMC03.441713	57.44361	2213.76190476	1300.0
EMC04.441704	62.54191	2756.25083612	1859.0
EMC05.441628	63.65401	2573.26996198	1600.0
EMC06.441610	58.42684	2499.94560669	1514.0
EMC07.441636	59.03115	2097.39688716	1435.0
EMC08.441752	55.43234	2253.02898551	1311.0
EMC09.441635	70.3913	2954.02105263	1827.0
