	PD_whole_tree	chao1	observed_otus
tp1.CI.E03.15dpc.4Ob.10.792284	12.46324	342.818181818	237.0
tp1.CI.E03.15dpc.4Ob.6.793011	14.56657	396.178571429	275.0
tp1.CI.E03.15dpc.4Ob.7.792268	13.24274	425.472727273	280.0
tp1.CI.E03.15dpc.4Ob.8.792885	13.3177	354.0	255.0
tp1.CI.E03.15dpc.4Ob.9.792643	12.55727	320.208333333	233.0
tp1.CI.E03.17dpc.1Ln.1.793182	12.23375	324.5	191.0
tp1.CI.E03.17dpc.1Ln.2.792613	17.0628	423.263157895	298.0
tp1.CI.E03.17dpc.1Ln.3.792586	12.77362	354.6	212.0
tp1.CI.E03.17dpc.1Ln.4.793149	11.91528	278.0	193.0
tp1.CI.E03.17dpc.1Ln.5.793069	17.29828	459.977272727	311.0
tp1.CI.E03.17dpc.1Ln.6.792150	13.26442	336.097560976	234.0
tp1.CI.E03.17dpc.1Ob.11.792788	11.022	297.1	197.0
tp1.CI.E03.17dpc.1Ob.12.792027	11.05648	276.833333333	194.0
tp1.CI.E03.17dpc.1Ob.13.792430	9.86875	228.0	169.0
tp1.CI.E03.17dpc.1Ob.14.793589	9.32984	228.391304348	154.0
tp1.CI.E03.17dpc.1Ob.15.793099	9.24977	195.230769231	136.0
tp1.CI.E03.17dpc.1Ob.16.792638	8.96963	214.0	159.0
tp1.CI.E03.17dpc.2Ln54.10.792872	12.26503	338.117647059	204.0
tp1.CI.E03.17dpc.2Ln54.6.791914	12.12819	423.526315789	248.0
tp1.CI.E03.17dpc.2Ln54.7.792048	12.4239	359.063829787	260.0
tp1.CI.E03.17dpc.2Ln54.8.792313	9.35935	252.44	164.0
tp1.CI.E03.17dpc.2Ln54.9.792402	10.10173	250.833333333	168.0
tp1.CI.E03.17dpc.2Ob.1.792910	11.95418	379.676470588	237.0
tp1.CI.E03.17dpc.2Ob.2.791883	12.86542	347.483870968	224.0
tp1.CI.E03.17dpc.2Ob.3.792406	10.2665	275.0	184.0
tp1.CI.E03.17dpc.2Ob.4.792421	12.39982	417.666666667	236.0
tp1.CI.E03.17dpc.2Ob.5.792474	10.39557	242.081081081	173.0
tp1.CI.E03.17dpc.3Ln37.10.791861	11.36239	346.59375	210.0
tp1.CI.E03.17dpc.3Ln37.6.792859	10.73348	315.538461538	203.0
tp1.CI.E03.17dpc.3Ln37.7.792602	10.11631	281.25	189.0
tp1.CI.E03.17dpc.3Ln37.8.792089	9.66587	239.416666667	178.0
tp1.CI.E03.17dpc.3Ln37.9.793051	9.57937	262.428571429	181.0
tp1.CI.E03.17dpc.3Ob.11.792138	9.55165	321.681818182	167.0
tp1.CI.E03.17dpc.3Ob.12.792065	11.73083	292.234042553	225.0
tp1.CI.E03.17dpc.3Ob.13.793012	11.13638	360.5	224.0
tp1.CI.E03.17dpc.3Ob.14.791921	11.36672	327.926829268	212.0
tp1.CI.E03.17dpc.3Ob.15.791873	11.71226	327.11627907	212.0
tp1.CI.E03.17dpc.4Ln.1.793052	14.53935	452.914893617	301.0
tp1.CI.E03.17dpc.4Ln.2.792500	15.81656	475.516666667	327.0
tp1.CI.E03.17dpc.4Ln.3.793383	14.34185	417.566037736	276.0
tp1.CI.E03.17dpc.4Ln.4.792019	13.58842	337.2	266.0
tp1.CI.E03.17dpc.4Ln.5.792832	13.46654	386.918367347	269.0
tp1.CI.E03.17dpc.4Ob.10.792591	12.81012	321.208333333	234.0
tp1.CI.E03.17dpc.4Ob.6.792335	13.43975	389.0	241.0
tp1.CI.E03.17dpc.4Ob.7.792320	14.48172	451.6875	277.0
tp1.CI.E03.17dpc.4Ob.8.792786	13.69089	380.06	285.0
tp1.CI.E03.17dpc.4Ob.9.793517	13.79799	375.666666667	284.0
tp1.CI.E03.1dpc.1Ln.1.792029	6.70521	263.0	119.0
tp1.CI.E03.1dpc.1Ln.2.792686	6.6745	237.130434783	141.0
tp1.CI.E03.1dpc.1Ln.3.793549	6.75966	224.217391304	142.0
tp1.CI.E03.1dpc.1Ln.4.792166	7.16725	225.785714286	142.0
tp1.CI.E03.1dpc.1Ln.5.793259	8.61343	293.677419355	173.0
tp1.CI.E03.1dpc.1Ln.6.793303	7.06169	190.75	127.0
tp1.CI.E03.1dpc.1Ob.11.792962	6.02031	127.619047619	104.0
tp1.CI.E03.1dpc.1Ob.12.792440	6.48545	130.884615385	113.0
tp1.CI.E03.1dpc.1Ob.13.792371	6.74542	200.555555556	124.0
tp1.CI.E03.1dpc.1Ob.14.792679	8.42925	216.384615385	146.0
tp1.CI.E03.1dpc.1Ob.15.792064	7.39949	180.12	135.0
tp1.CI.E03.1dpc.1Ob.16.793329	5.16574	147.2	122.0
tp1.CI.E03.1dpc.2Ln54.10.792799	8.89994	295.972972973	204.0
tp1.CI.E03.1dpc.2Ln54.6.793185	9.75529	339.625	228.0
tp1.CI.E03.1dpc.2Ln54.7.793062	9.07162	282.97826087	209.0
tp1.CI.E03.1dpc.2Ln54.8.792771	8.68464	294.256410256	207.0
tp1.CI.E03.1dpc.2Ln54.9.792719	9.03049	344.6	225.0
tp1.CI.E03.1dpc.2Ob.1.791961	2.38625	42.0	28.0
tp1.CI.E03.1dpc.2Ob.2.791824	3.13801	94.2	48.0
tp1.CI.E03.1dpc.2Ob.4.793391	3.11627	60.5	43.0
tp1.CI.E03.1dpc.2Ob.5.793325	2.15138	18.4285714286	17.0
tp1.CI.E03.1dpc.3Ln37.10.792907	8.98666	280.5	214.0
tp1.CI.E03.1dpc.3Ln37.6.792894	8.68207	295.023809524	208.0
tp1.CI.E03.1dpc.3Ln37.7.793211	9.04088	293.227272727	214.0
tp1.CI.E03.1dpc.3Ln37.8.793343	8.83252	296.617647059	206.0
tp1.CI.E03.1dpc.3Ln37.9.792948	9.7702	287.234042553	220.0
tp1.CI.E03.1dpc.3Ob.11.793246	1.99526	46.25	35.0
tp1.CI.E03.1dpc.3Ob.12.792741	1.83421	32.0	11.0
tp1.CI.E03.1dpc.3Ob.13.792769	4.81901	80.5	70.0
tp1.CI.E03.1dpc.3Ob.14.792950	2.52601	72.5	47.0
tp1.CI.E03.1dpc.3Ob.15.792037	2.17554	41.0	29.0
tp1.CI.E03.1dpc.4Ln.1.792364	5.99491	157.571428571	99.0
tp1.CI.E03.1dpc.4Ln.2.792024	6.75261	199.777777778	132.0
tp1.CI.E03.1dpc.4Ln.3.792243	6.05469	171.0	115.0
tp1.CI.E03.1dpc.4Ln.4.793582	8.00503	212.730769231	140.0
tp1.CI.E03.1dpc.4Ln.5.792393	8.776	239.607142857	163.0
tp1.CI.E03.1dpc.4Ob.10.792955	2.51729	54.75	41.0
tp1.CI.E03.1dpc.4Ob.6.793242	1.95589	25.0	10.0
tp1.CI.E03.1dpc.4Ob.7.792404	2.30134	54.0	36.0
tp1.CI.E03.1dpc.4Ob.8.793007	4.15008	134.0	99.0
tp1.CI.E03.1dpc.4Ob.9.791826	5.00732	135.461538462	87.0
tp1.CI.E03.20dpc.1Ln.1.793490	15.35885	476.657894737	256.0
tp1.CI.E03.20dpc.1Ln.2.793238	13.16495	372.731707317	237.0
tp1.CI.E03.20dpc.1Ln.3.793456	13.42473	328.208333333	223.0
tp1.CI.E03.20dpc.1Ln.4.792054	12.67769	359.285714286	215.0
tp1.CI.E03.20dpc.1Ln.5.792118	5.71463	83.25	36.0
tp1.CI.E03.20dpc.1Ln.6.792604	10.07073	243.285714286	169.0
tp1.CI.E03.20dpc.1Ob.11.791982	9.99906	244.956521739	168.0
tp1.CI.E03.20dpc.1Ob.12.792410	10.72598	232.875	183.0
tp1.CI.E03.20dpc.1Ob.13.793493	9.35193	205.46875	152.0
tp1.CI.E03.20dpc.1Ob.14.791850	8.73189	243.434782609	153.0
tp1.CI.E03.20dpc.1Ob.15.792722	9.27967	250.964285714	172.0
tp1.CI.E03.20dpc.1Ob.16.793379	13.60174	343.4375	234.0
tp1.CI.E03.20dpc.2Ln54.10.793577	12.11656	325.416666667	204.0
tp1.CI.E03.20dpc.2Ln54.6.792203	10.61965	354.526315789	184.0
tp1.CI.E03.20dpc.2Ln54.7.792133	10.66842	262.774193548	178.0
tp1.CI.E03.20dpc.2Ln54.8.792375	9.94912	261.71875	175.0
tp1.CI.E03.20dpc.2Ln54.9.793197	11.80803	280.552631579	191.0
tp1.CI.E03.20dpc.2Ob.1.792588	11.13323	304.90625	188.0
tp1.CI.E03.20dpc.2Ob.2.793089	11.42709	353.941176471	217.0
tp1.CI.E03.20dpc.2Ob.3.792496	10.13408	292.75	174.0
tp1.CI.E03.20dpc.2Ob.4.793101	12.17758	318.340909091	219.0
tp1.CI.E03.20dpc.2Ob.5.792683	11.52799	360.15625	196.0
tp1.CI.E03.20dpc.3Ln37.10.792356	13.05558	367.97826087	247.0
tp1.CI.E03.20dpc.3Ln37.6.793236	10.70988	277.428571429	196.0
tp1.CI.E03.20dpc.3Ln37.7.791870	6.97443	176.0	66.0
tp1.CI.E03.20dpc.3Ln37.8.793134	10.71202	284.775510204	217.0
tp1.CI.E03.20dpc.3Ln37.9.792875	12.12055	345.666666667	219.0
tp1.CI.E03.20dpc.3Ob.11.792276	10.7354	287.088235294	187.0
tp1.CI.E03.20dpc.3Ob.12.792447	10.81939	333.243243243	210.0
tp1.CI.E03.20dpc.3Ob.13.792190	11.54886	307.25	196.0
tp1.CI.E03.20dpc.3Ob.14.793457	11.25828	405.9375	222.0
tp1.CI.E03.20dpc.3Ob.15.792912	12.03398	332.90625	216.0
tp1.CI.E03.20dpc.4Ln.1.792730	11.00933	347.277777778	207.0
tp1.CI.E03.20dpc.4Ln.2.792258	15.67705	426.916666667	285.0
tp1.CI.E03.20dpc.4Ln.3.791888	12.82703	404.590909091	253.0
tp1.CI.E03.20dpc.4Ln.4.792321	13.34416	411.534883721	251.0
tp1.CI.E03.20dpc.4Ln.5.793169	11.74824	318.019607843	219.0
tp1.CI.E03.20dpc.4Ob.10.793402	3.14596	121.0	16.0
tp1.CI.E03.20dpc.4Ob.6.792945	12.19698	361.775	220.0
tp1.CI.E03.20dpc.4Ob.7.793270	13.31191	390.288461538	246.0
tp1.CI.E03.20dpc.4Ob.8.792720	10.8304	321.0	207.0
tp1.CI.E03.20dpc.4Ob.9.793526	12.13035	313.071428571	224.0
tp1.CI.E03.2dpc.1Ln.1.791923	12.27751	389.307692308	252.0
tp1.CI.E03.2dpc.1Ln.2.793553	10.77534	300.04	183.0
tp1.CI.E03.2dpc.1Ln.3.793173	12.57343	406.590909091	255.0
tp1.CI.E03.2dpc.1Ln.4.792985	14.91642	394.12244898	258.0
tp1.CI.E03.2dpc.1Ln.5.792111	9.49383	257.65625	180.0
tp1.CI.E03.2dpc.1Ln.6.792528	6.45093	204.333333333	106.0
tp1.CI.E03.2dpc.1Ob.11.793228	10.31807	251.25	183.0
tp1.CI.E03.2dpc.1Ob.12.791910	10.1474	343.125	165.0
tp1.CI.E03.2dpc.1Ob.13.793492	9.86621	232.5	161.0
tp1.CI.E03.2dpc.1Ob.14.792631	9.12333	239.088235294	166.0
tp1.CI.E03.2dpc.1Ob.15.791968	9.34179	349.2	189.0
tp1.CI.E03.2dpc.1Ob.16.792458	7.8932	213.052631579	132.0
tp1.CI.E03.2dpc.2Ln54.10.792414	10.41272	328.396226415	235.0
tp1.CI.E03.2dpc.2Ln54.6.792301	10.10679	287.0	206.0
tp1.CI.E03.2dpc.2Ln54.7.792938	9.89887	347.894736842	215.0
tp1.CI.E03.2dpc.2Ln54.8.791852	10.47299	337.018867925	234.0
tp1.CI.E03.2dpc.2Ln54.9.792465	11.57586	393.142857143	264.0
tp1.CI.E03.2dpc.2Ob.1.792146	10.37249	288.941176471	196.0
tp1.CI.E03.2dpc.2Ob.2.792042	10.69788	323.0	191.0
tp1.CI.E03.2dpc.2Ob.4.792979	9.29985	251.652173913	164.0
tp1.CI.E03.2dpc.3Ln37.10.793439	11.47206	378.016949153	257.0
tp1.CI.E03.2dpc.3Ln37.6.791935	11.08758	382.0	234.0
tp1.CI.E03.2dpc.3Ln37.7.792167	10.45502	366.12195122	238.0
tp1.CI.E03.2dpc.3Ln37.8.792085	10.43692	331.596491228	243.0
tp1.CI.E03.2dpc.3Ln37.9.793027	10.82158	354.97826087	243.0
tp1.CI.E03.2dpc.3Ob.11.792296	9.24539	238.115384615	163.0
tp1.CI.E03.2dpc.3Ob.12.792733	8.14951	232.206896552	181.0
tp1.CI.E03.2dpc.3Ob.13.792017	9.16406	187.0	145.0
tp1.CI.E03.2dpc.3Ob.14.793499	8.56478	219.666666667	173.0
tp1.CI.E03.2dpc.3Ob.15.791925	8.66248	233.029411765	168.0
tp1.CI.E03.2dpc.4Ln.1.793109	13.75951	464.333333333	278.0
tp1.CI.E03.2dpc.4Ln.2.792477	11.65253	313.23255814	218.0
tp1.CI.E03.2dpc.4Ln.3.793541	12.54994	317.6	218.0
tp1.CI.E03.2dpc.4Ln.4.791944	13.37062	343.772727273	229.0
tp1.CI.E03.2dpc.4Ln.5.791980	12.35579	343.95	237.0
tp1.CI.E03.2dpc.4Ob.10.793143	10.5908	297.717948718	204.0
tp1.CI.E03.2dpc.4Ob.6.793547	6.12391	111.9	93.0
tp1.CI.E03.2dpc.4Ob.7.793510	9.42314	265.0	170.0
tp1.CI.E03.2dpc.4Ob.8.793119	10.55365	284.025641026	209.0
tp1.CI.E03.2dpc.4Ob.9.793217	10.41652	291.023255814	202.0
tp1.CI.E03.3dpc.1Ln.1.793142	14.01298	370.052631579	261.0
tp1.CI.E03.3dpc.1Ln.2.792559	9.89841	264.12	173.0
tp1.CI.E03.3dpc.1Ln.3.791818	11.93743	313.2	242.0
tp1.CI.E03.3dpc.1Ln.4.792752	8.71802	235.44	167.0
tp1.CI.E03.3dpc.1Ln.5.793098	14.31723	414.227272727	260.0
tp1.CI.E03.3dpc.1Ln.6.792765	11.45814	291.256410256	204.0
tp1.CI.E03.3dpc.1Ob.11.791926	8.60502	241.666666667	155.0
tp1.CI.E03.3dpc.1Ob.12.792366	10.44666	233.6	176.0
tp1.CI.E03.3dpc.1Ob.13.792382	9.94782	264.0	171.0
tp1.CI.E03.3dpc.1Ob.14.792391	9.12747	227.636363636	174.0
tp1.CI.E03.3dpc.1Ob.15.792606	9.74196	247.607142857	171.0
tp1.CI.E03.3dpc.1Ob.16.792882	8.48597	218.777777778	151.0
tp1.CI.E03.3dpc.2Ln54.10.791901	10.77928	341.0	240.0
tp1.CI.E03.3dpc.2Ln54.6.793345	9.4856	335.145833333	217.0
tp1.CI.E03.3dpc.2Ln54.7.792136	11.01274	391.441860465	239.0
tp1.CI.E03.3dpc.2Ln54.8.792844	11.22281	374.153846154	226.0
tp1.CI.E03.3dpc.2Ln54.9.792966	9.63748	325.571428571	217.0
tp1.CI.E03.3dpc.2Ob.1.792556	11.23405	308.885714286	214.0
tp1.CI.E03.3dpc.2Ob.2.793533	10.64065	288.216216216	194.0
tp1.CI.E03.3dpc.2Ob.3.793570	9.85379	249.933333333	174.0
tp1.CI.E03.3dpc.2Ob.4.792081	10.41639	294.243902439	203.0
tp1.CI.E03.3dpc.2Ob.5.792664	8.58314	292.333333333	187.0
tp1.CI.E03.3dpc.3Ln37.10.793397	11.21767	373.326086957	243.0
tp1.CI.E03.3dpc.3Ln37.6.793494	10.0086	322.534883721	212.0
tp1.CI.E03.3dpc.3Ln37.7.793299	11.44364	408.163265306	250.0
tp1.CI.E03.3dpc.3Ln37.8.793530	10.13242	325.0	226.0
tp1.CI.E03.3dpc.3Ln37.9.792682	10.17906	373.615384615	234.0
tp1.CI.E03.3dpc.3Ob.11.791840	9.6308	242.5	154.0
tp1.CI.E03.3dpc.3Ob.12.793367	8.90674	232.09375	173.0
tp1.CI.E03.3dpc.3Ob.13.792913	10.58615	276.0	171.0
tp1.CI.E03.3dpc.3Ob.14.792326	8.80901	218.5625	142.0
tp1.CI.E03.3dpc.3Ob.15.792472	9.287	209.517241379	162.0
tp1.CI.E03.3dpc.4Ln.1.793157	13.66893	415.02173913	275.0
tp1.CI.E03.3dpc.4Ln.2.791937	12.42025	460.903225806	242.0
tp1.CI.E03.3dpc.4Ln.3.793528	14.46353	433.146341463	259.0
tp1.CI.E03.3dpc.4Ln.4.793093	12.77937	316.944444444	236.0
tp1.CI.E03.3dpc.4Ln.5.793522	10.88222	306.153846154	208.0
tp1.CI.E03.3dpc.4Ob.10.793328	10.4472	311.535714286	190.0
tp1.CI.E03.3dpc.4Ob.6.793283	8.94914	206.363636364	163.0
tp1.CI.E03.3dpc.4Ob.7.791830	9.53604	270.84	177.0
tp1.CI.E03.3dpc.4Ob.8.791816	8.83639	210.2	157.0
tp1.CI.E03.3dpc.4Ob.9.793190	10.01129	242.558139535	188.0
tp1.CI.E03.5dpc.1Ln.1.792622	13.75243	411.12244898	258.0
tp1.CI.E03.5dpc.1Ln.2.792125	10.03121	235.0	163.0
tp1.CI.E03.5dpc.1Ln.3.793334	13.23361	419.525	244.0
tp1.CI.E03.5dpc.1Ln.4.791832	10.61862	269.033333333	179.0
tp1.CI.E03.5dpc.1Ln.5.792325	13.73303	389.0	241.0
tp1.CI.E03.5dpc.1Ln.6.792195	11.64609	318.363636364	205.0
tp1.CI.E03.5dpc.1Ob.11.793118	9.47388	248.933333333	173.0
tp1.CI.E03.5dpc.1Ob.12.791934	9.14649	220.913043478	161.0
tp1.CI.E03.5dpc.1Ob.13.792021	9.06554	262.444444444	173.0
tp1.CI.E03.5dpc.1Ob.14.792598	9.25157	293.75	175.0
tp1.CI.E03.5dpc.1Ob.15.793495	9.08703	250.5	162.0
tp1.CI.E03.5dpc.1Ob.16.792131	8.92188	217.0	158.0
tp1.CI.E03.5dpc.2Ln54.10.792486	9.38331	413.129032258	209.0
tp1.CI.E03.5dpc.2Ln54.6.793045	9.87584	350.567567568	203.0
tp1.CI.E03.5dpc.2Ln54.7.792779	10.76397	365.27027027	212.0
tp1.CI.E03.5dpc.2Ln54.8.792070	10.7874	354.5	222.0
tp1.CI.E03.5dpc.2Ln54.9.792336	11.72505	346.333333333	225.0
