	SRR515153	SRR518987	SRR521172	SRR521173	SRR521174	SRR521175	SRR521176	SRR521177	SRR521178	SRR521179	SRR521180	SRR521181	SRR521182	SRR521183	SRR521184	SRR521185	SRR521186	SRR521187	SRR521188	SRR521189	SRR521190	SRR521191	SRR521192	SRR521193	SRR521194	SRR521195	SRR521196	SRR521197	SRR521198	SRR521199	SRR521200	SRR521201	SRR521202	SRR521203	SRR521204	SRR521205	SRR521206	SRR521207	SRR521208	SRR521209	SRR521211	SRR521212	SRR521213	SRR521214	SRR521215	SRR521216	SRR521217	SRR521219	SRR521220	SRR521221	SRR521222	SRR521223	SRR521224	SRR521225	SRR521226	SRR521227	SRR521229	SRR521230	SRR521231	SRR521232	SRR521233	SRR521234	SRR521235	SRR521236	SRR521237	SRR521238	SRR521239	SRR521240	SRR521241	SRR521242	SRR521243	SRR521244	SRR521245	SRR521246	SRR521247	SRR521248	SRR521249	SRR521250	SRR521252	SRR521253	SRR521254	SRR521255	SRR521256	SRR521257	SRR521258	SRR521259	SRR521260	SRR521261	SRR521262	SRR521263	SRR521264	SRR521265
SRR521180	0.2142397	0.22938267	0.17478637	0.09287131	0.25220431	0.10806795	0.10061398	0.21918021	0.20518422	0.22958949	0.0	0.28345911	0.13774873	0.19593752	0.24054498	0.15148367	0.20288379	0.26646182	0.15218138	0.16859428	0.12976557	0.12876997	0.27635162	0.20897907	0.26281516	0.13669182	0.12844177	0.12840652	0.14642016	0.12951685	0.18286051	0.43818459	0.45036566	0.1690699	0.45103008	0.18113485	0.46468182	0.19451442	0.44498108	0.43707686	0.16549977	0.13943108	0.2387223	0.20880258	0.16747823	0.41354614	0.43686372	0.13403964	0.16873322	0.12723576	0.18331715	0.44654512	0.46618123	0.17193758	0.14174562	0.18829915	0.43411778	0.23490874	0.46368165	0.42903449	0.31766213	0.4853632	0.28023145	0.39352811	0.44805132	0.45065413	0.42454384	0.44628704	0.40767812	0.38378333	0.38944475	0.43810609	0.36520502	0.4110303	0.40743407	0.43463618	0.33055987	0.23668265	0.21516706	0.40702958	0.32587474	0.38817335	0.4072899	0.40302869	0.44688813	0.44894935	0.44548838	0.45353886	0.44578227	0.33124097	0.35617851	0.4245912
SRR521181	0.42651899	0.42898974	0.36814468	0.28259728	0.46074686	0.32356986	0.27506393	0.4350925	0.39491537	0.44738046	0.28345911	0.0	0.34847162	0.40150787	0.46691101	0.36481332	0.40790216	0.47515837	0.33951177	0.21162611	0.33118672	0.2512312	0.49536213	0.38056256	0.45280009	0.35213295	0.31959484	0.32644861	0.33084269	0.33519314	0.3861144	0.6449119	0.62787695	0.38030795	0.64588387	0.19913868	0.64626523	0.18738439	0.63767797	0.63139239	0.33670948	0.33976081	0.20317997	0.38890261	0.23169372	0.60419991	0.64494847	0.33123011	0.27876983	0.26214961	0.35637188	0.64154897	0.66082042	0.21524501	0.22502135	0.19125596	0.65265281	0.33593567	0.66143008	0.62148622	0.48545814	0.68136561	0.4648477	0.58617194	0.63661909	0.6599098	0.61686095	0.67550479	0.59433645	0.571522	0.58972886	0.65208668	0.55745829	0.60804205	0.5950559	0.63003687	0.51635948	0.44828864	0.40109595	0.59902351	0.49204991	0.58069946	0.59729409	0.58168446	0.61779968	0.6374222	0.63859307	0.64913903	0.6379085	0.51729908	0.53941548	0.61604893
SRR521182	0.15825579	0.1644264	0.10640672	0.12787478	0.19203898	0.08379586	0.12566983	0.1583925	0.13472949	0.17728148	0.13774873	0.34847162	0.0	0.13941445	0.21142145	0.09586436	0.14920516	0.20479379	0.09439059	0.21169659	0.07636292	0.17308978	0.24328385	0.14003504	0.19379591	0.07158883	0.07579838	0.10054239	0.08458595	0.06643322	0.12384038	0.37441024	0.38341835	0.11764015	0.38749421	0.22156034	0.40269529	0.22980017	0.38499469	0.37676593	0.11169406	0.09463351	0.27321293	0.14127065	0.21109904	0.35233059	0.38377643	0.11765481	0.19943727	0.16534193	0.11832306	0.38164445	0.40200714	0.21355281	0.19044541	0.23169966	0.36628021	0.24065603	0.39527804	0.36737204	0.32090358	0.42418015	0.21600002	0.33692854	0.37983855	0.39215356	0.35564759	0.38850191	0.34294881	0.3197824	0.32246412	0.37025596	0.30743187	0.34660193	0.34516984	0.37606125	0.28283482	0.1706708	0.21341951	0.34630773	0.26807725	0.3326223	0.34479135	0.33940026	0.38382764	0.3769079	0.37610943	0.38757173	0.37333922	0.26698412	0.29173764	0.36631587
SRR521183	0.09364192	0.10943087	0.10464717	0.19535543	0.10448197	0.15340293	0.20702318	0.10382109	0.08860022	0.11875155	0.19593752	0.40150787	0.13941445	0.0	0.15277384	0.11805227	0.09675229	0.14735388	0.10991568	0.2730338	0.13785817	0.23254385	0.17615852	0.10597549	0.12459382	0.13622862	0.14224369	0.1366615	0.15099952	0.14719427	0.07312847	0.32052955	0.32925	0.11110806	0.33468804	0.29468949	0.34936922	0.29268362	0.3276789	0.3226925	0.15141787	0.1496833	0.32606464	0.13131398	0.26702091	0.30147286	0.31903606	0.1671584	0.25700874	0.22241322	0.15494539	0.33207578	0.35074311	0.260647	0.25201504	0.29151759	0.31515476	0.3023191	0.34841209	0.31328749	0.35752389	0.3682954	0.22869941	0.27717535	0.32836246	0.33726195	0.30933704	0.32868026	0.29122738	0.27470403	0.26597793	0.32063817	0.25750524	0.30084088	0.29102081	0.31991018	0.31688131	0.11852123	0.26890264	0.2932701	0.21766758	0.28461173	0.30097918	0.29503483	0.33196175	0.32694221	0.33090248	0.3377658	0.32996633	0.22603489	0.23865297	0.30393748
SRR521184	0.13018444	0.12462263	0.18409087	0.27051467	0.10778253	0.22435001	0.27508778	0.10090267	0.15678174	0.10700671	0.24054498	0.46691101	0.21142145	0.15277384	0.0	0.18198505	0.13635443	0.12432084	0.21945744	0.33845886	0.21179025	0.31148111	0.0958747	0.17896597	0.12216704	0.20409408	0.22398491	0.2275115	0.22499118	0.21795787	0.17220609	0.27525599	0.28704252	0.17953118	0.29566604	0.37178567	0.309547	0.3704673	0.29052416	0.28133484	0.23808385	0.23288148	0.41187352	0.21081494	0.34615435	0.2616925	0.26737056	0.25021132	0.33700264	0.3023273	0.24919149	0.29121428	0.31100811	0.34919052	0.32748894	0.37190987	0.28216386	0.37142606	0.30975109	0.27111695	0.38947339	0.33019564	0.27255561	0.24049073	0.29599216	0.29285921	0.26917998	0.27629142	0.25252346	0.25703661	0.23074167	0.27844433	0.21310734	0.258358	0.25610169	0.27228374	0.35170541	0.10051477	0.33054808	0.25455024	0.20944386	0.24106601	0.25257232	0.25109673	0.29002047	0.28183767	0.28580116	0.30011806	0.29052923	0.18481229	0.20986325	0.26258564
SRR521185	0.11983433	0.1348883	0.08306756	0.14172536	0.17195132	0.11815622	0.15806465	0.13722788	0.11524659	0.13035628	0.15148367	0.36481332	0.09586436	0.11805227	0.18198505	0.0	0.10161486	0.18382393	0.11023861	0.23369455	0.10384342	0.18217512	0.20632829	0.11502494	0.16785149	0.10651661	0.10699394	0.10684579	0.11966269	0.09990778	0.0991929	0.33378712	0.33783935	0.08308981	0.36205523	0.25936138	0.36061051	0.25740793	0.35239011	0.34513759	0.12140302	0.11623267	0.30215371	0.12485467	0.2242722	0.32029663	0.34407915	0.13227315	0.22964861	0.18125113	0.14618184	0.35434793	0.36536308	0.22986933	0.21466077	0.25894768	0.33675179	0.25263655	0.36666784	0.33557486	0.3267331	0.39548185	0.21125338	0.30682132	0.35040917	0.35581272	0.32994007	0.35616505	0.31128465	0.2935276	0.29520726	0.33969736	0.27405837	0.32028237	0.3135031	0.33676009	0.28827302	0.14958742	0.22015819	0.31629291	0.23027455	0.30193268	0.31545233	0.3051374	0.34456566	0.34436966	0.34121455	0.35772651	0.34706054	0.23826676	0.26599794	0.33254193
SRR521186	0.08190937	0.09290126	0.11766296	0.18640602	0.12244422	0.1761744	0.20536571	0.10161586	0.10480985	0.08858376	0.20288379	0.40790216	0.14920516	0.09675229	0.13635443	0.10161486	0.0	0.14808627	0.14988791	0.29135665	0.15428148	0.2231111	0.15886805	0.12026078	0.12376429	0.15178355	0.15978418	0.15034353	0.17355153	0.1478932	0.09839192	0.28677136	0.28517383	0.12684049	0.31510715	0.30630016	0.31447163	0.30365423	0.30801787	0.30005755	0.1740158	0.17685331	0.36011349	0.16590887	0.2736061	0.27586433	0.28683135	0.19383647	0.28833045	0.23214851	0.1917519	0.31154033	0.31590686	0.28220801	0.25774755	0.30464896	0.28671939	0.29893897	0.3149882	0.28963282	0.34936332	0.34779209	0.22557976	0.2638728	0.30592891	0.31250876	0.28600177	0.30613645	0.26953581	0.25391178	0.24894822	0.29300134	0.23122341	0.27774705	0.27127328	0.29104801	0.31052532	0.10594678	0.26525061	0.27070705	0.18446833	0.25724092	0.27104913	0.26142336	0.29273038	0.2955164	0.28922165	0.30919901	0.30138434	0.1986714	0.22321278	0.27990495
SRR521187	0.12509944	0.12898403	0.16416607	0.25853763	0.09966227	0.22460013	0.28213224	0.12448083	0.17215608	0.11541467	0.26646182	0.47515837	0.20479379	0.14735388	0.12432084	0.18382393	0.14808627	0.0	0.21224644	0.32676428	0.21637705	0.30195403	0.15205906	0.17680863	0.10126318	0.21809698	0.21638367	0.22985326	0.22005628	0.21855427	0.16119145	0.24739017	0.26204474	0.15326192	0.2483317	0.35357055	0.26966192	0.36216736	0.24929668	0.24127582	0.22216247	0.19842248	0.36199846	0.14612894	0.33182191	0.22486914	0.27141326	0.2184217	0.28505976	0.29588948	0.18875525	0.24230752	0.27748147	0.3360675	0.31971066	0.36520631	0.24147952	0.35017154	0.27748699	0.24225857	0.36501925	0.27395324	0.22631311	0.19602641	0.25432092	0.26845285	0.23416938	0.26803596	0.21879186	0.22254583	0.19615927	0.25565013	0.16461672	0.2020291	0.21517447	0.25303898	0.31888361	0.11326451	0.29772136	0.21718256	0.20013126	0.19308775	0.20399568	0.21885167	0.26232125	0.26402251	0.26759608	0.26943126	0.25354575	0.14163289	0.16714431	0.24673372
SRR521188	0.15826404	0.16381051	0.10677387	0.13022435	0.16820327	0.11167809	0.14906644	0.16712275	0.13841538	0.17852969	0.15218138	0.33951177	0.09439059	0.10991568	0.21945744	0.11023861	0.14988791	0.21224644	0.0	0.2197959	0.09620023	0.16294661	0.24603188	0.13400833	0.17841512	0.10224992	0.08972775	0.0786097	0.1025376	0.09758061	0.09204435	0.38310833	0.39161904	0.12914326	0.39725392	0.22872357	0.4129356	0.22393684	0.39289696	0.385856	0.10812859	0.10890096	0.27635938	0.14364784	0.21126257	0.3607229	0.39306934	0.12058684	0.2056237	0.16613518	0.12614785	0.39229778	0.41286875	0.20029668	0.1897739	0.22695713	0.38125812	0.2521842	0.40822461	0.37340141	0.33743533	0.43155564	0.22817609	0.33895425	0.38663534	0.40252793	0.36849912	0.40332624	0.34886536	0.33107907	0.32754451	0.38479097	0.31999992	0.35906618	0.35090373	0.38228394	0.29574965	0.18086949	0.23567258	0.35472436	0.27580844	0.34682387	0.36315622	0.35346693	0.39253091	0.38713411	0.39033196	0.3983667	0.38629757	0.28335151	0.29542363	0.36476132
SRR521189	0.29258172	0.29260565	0.24084019	0.16511699	0.32907407	0.18833187	0.15412134	0.30227585	0.27478838	0.31189407	0.16859428	0.21162611	0.21169659	0.2730338	0.33845886	0.23369455	0.29135665	0.32676428	0.2197959	0.0	0.20110015	0.15181365	0.37970996	0.27389909	0.32644164	0.21328776	0.19685961	0.21004928	0.21234968	0.20543635	0.25035817	0.52028771	0.52677544	0.24290204	0.52504408	0.12126455	0.53848998	0.11638344	0.52181008	0.51450506	0.23129995	0.20028694	0.15799506	0.265284	0.13162181	0.48801926	0.5309834	0.19400406	0.16247504	0.16508	0.24140999	0.51827226	0.54660715	0.12675044	0.11363806	0.11633331	0.5077868	0.23032596	0.54497957	0.50986593	0.37165953	0.55991418	0.34141315	0.46527759	0.51687522	0.53624691	0.49551072	0.5363694	0.47503778	0.45225689	0.46080953	0.51947075	0.44052044	0.48087996	0.47475109	0.51400986	0.39505375	0.31981977	0.28318354	0.48329922	0.40081092	0.45691361	0.48262486	0.47507005	0.52225233	0.52506443	0.52279316	0.53704062	0.51967439	0.40229695	0.42386349	0.50685958
