	SRR515153	SRR518987	SRR521172	SRR521173	SRR521174	SRR521175	SRR521176	SRR521177	SRR521178	SRR521179	SRR521180	SRR521181	SRR521182	SRR521183	SRR521184	SRR521185	SRR521186	SRR521187	SRR521188	SRR521189	SRR521190	SRR521191	SRR521192	SRR521193	SRR521194	SRR521195	SRR521196	SRR521197	SRR521198	SRR521199	SRR521200	SRR521201	SRR521202	SRR521203	SRR521204	SRR521205	SRR521206	SRR521207	SRR521208	SRR521209	SRR521211	SRR521212	SRR521213	SRR521214	SRR521215	SRR521216	SRR521217	SRR521219	SRR521220	SRR521221	SRR521222	SRR521223	SRR521224	SRR521225	SRR521226	SRR521227	SRR521229	SRR521230	SRR521231	SRR521232	SRR521233	SRR521234	SRR521235	SRR521236	SRR521237	SRR521238	SRR521239	SRR521240	SRR521241	SRR521242	SRR521243	SRR521244	SRR521245	SRR521246	SRR521247	SRR521248	SRR521249	SRR521250	SRR521252	SRR521253	SRR521254	SRR521255	SRR521256	SRR521257	SRR521258	SRR521259	SRR521260	SRR521261	SRR521262	SRR521263	SRR521264	SRR521265
SRR515153	0.0	0.42094312009	0.425905732372	0.51609443256	0.541677101902	0.558134212493	0.557732657281	0.544065421432	0.563570414802	0.48021921702	0.577619260099	0.569356293175	0.537065873661	0.57234478022	0.578519963187	0.524307667303	0.508239571227	0.579756503244	0.571148645247	0.57953240718	0.562670731076	0.508975528712	0.555268002378	0.461108911968	0.483264038665	0.521774239764	0.534503843064	0.533544773066	0.561140127916	0.536156381388	0.572570492526	0.609367555009	0.619885727731	0.562743142796	0.614418886091	0.52267340568	0.580957329966	0.539647796782	0.607048901512	0.560244203289	0.546710297927	0.570883453381	0.653875031284	0.59901371388	0.565219504944	0.599354509891	0.638732558839	0.570405281838	0.642280087579	0.570528570649	0.593978094675	0.56423557212	0.613577685172	0.538466185152	0.563985290636	0.578030976245	0.589210659012	0.564379006151	0.628662605458	0.598297386902	0.603855953141	0.673254082358	0.606604463307	0.620719042191	0.564337570659	0.628984871497	0.605140474263	0.640767558303	0.648805446203	0.624795323131	0.54623666224	0.615779877425	0.609502751681	0.627186545882	0.594872889918	0.631952995208	0.614288932869	0.526204655081	0.628080697017	0.569942318379	0.558186581418	0.613655505401	0.573531404713	0.596702929758	0.578389678994	0.577481783351	0.656235307477	0.614570498723	0.640215473611	0.572505095778	0.613210447804	0.625152858825
SRR518987	0.42094312009	0.0	0.472108510591	0.577872077429	0.566293855186	0.567538254686	0.567806027711	0.540432148429	0.593565548738	0.522771044078	0.569149752805	0.604244839004	0.532977844843	0.586826217551	0.590215298073	0.575592639229	0.54623676154	0.631200478495	0.572906641194	0.602599190396	0.571393704104	0.548024217259	0.58591033104	0.514518969223	0.531282776615	0.53512617224	0.5579407331	0.570005280216	0.609324662188	0.565331431827	0.59903298597	0.648204464482	0.630389531837	0.570561301159	0.612181666641	0.567032918407	0.623439481524	0.578284959358	0.63198830024	0.54658985641	0.570662916856	0.597758978563	0.6798688786	0.610810046022	0.593804858625	0.599662865127	0.651798528841	0.578932779513	0.661979309795	0.585905243667	0.616122687067	0.583885839913	0.602852176104	0.560082330085	0.595891462229	0.595776177145	0.616155858291	0.591230202913	0.599795844143	0.610932579823	0.613653870314	0.664923599321	0.623683748798	0.613155838166	0.601377224044	0.628922721564	0.625567851949	0.65933212464	0.649961469684	0.628216612451	0.568670388345	0.601967776956	0.655369270374	0.644460060553	0.610571810791	0.641586116299	0.630937577508	0.535936395138	0.630647955548	0.593670668323	0.599285526411	0.640128368556	0.601908492482	0.625067332513	0.6008995803	0.600475306675	0.642022409154	0.58666050489	0.629650551723	0.584120200287	0.638104030831	0.628051108187
SRR521172	0.425905732372	0.472108510591	0.0	0.548066089437	0.556837392249	0.543782513512	0.550561046688	0.553550397986	0.561552778516	0.502081665229	0.557816990031	0.584787075388	0.532311176494	0.562253232816	0.592162930288	0.545949114068	0.531042306581	0.603823717307	0.56958998947	0.5868412553	0.560920404817	0.52922790762	0.581816982708	0.492493348962	0.51153091103	0.54113953741	0.567459108955	0.515032301362	0.581326903717	0.536362195535	0.595565440335	0.630187303605	0.62449930453	0.565203486215	0.615941083573	0.51941356868	0.619998480144	0.55340354083	0.619839101396	0.575908938783	0.561619443876	0.592030790589	0.646563134833	0.599161891476	0.558547740145	0.593054141445	0.637394187872	0.56068233195	0.637329830716	0.563968502424	0.598584951766	0.572433335941	0.602127701978	0.541304100697	0.563534701839	0.597330402692	0.625273977888	0.568322511149	0.601827662147	0.584584440575	0.601082608457	0.673288771362	0.636711195671	0.614743078195	0.582224355986	0.607041621638	0.605679739516	0.640810588376	0.640367982244	0.614478039838	0.545477840782	0.603880877404	0.653687034778	0.625749361384	0.598232487159	0.617399674273	0.623272767534	0.525539064286	0.616691395692	0.585178339332	0.582636686766	0.637837933626	0.59221794218	0.630712909133	0.616619876573	0.578607358202	0.633198293227	0.599056056108	0.624592901726	0.574119378625	0.596797699071	0.620771081343
SRR521173	0.51609443256	0.577872077429	0.548066089437	0.0	0.543573826313	0.529630600597	0.539079016498	0.541911380826	0.554010311554	0.455964687289	0.553428311418	0.560095586158	0.560624001019	0.579419579637	0.572119123198	0.52514759511	0.49768609299	0.592409785701	0.560351177202	0.530536177436	0.560653411092	0.463606635643	0.557766429576	0.5207844917	0.560488869518	0.53465205599	0.550062016185	0.543101214565	0.556457018303	0.528549583912	0.572095670759	0.634528520179	0.633774766125	0.541487837581	0.666436841372	0.538108262549	0.603382758516	0.565160181938	0.63688079003	0.624124241639	0.561411932699	0.5783655669	0.656208264397	0.582401374466	0.575722648872	0.621165322898	0.661675202221	0.564228511458	0.616549915019	0.59399157378	0.586868657247	0.613875447373	0.64806029558	0.564097328028	0.55878256456	0.585912945417	0.606367451011	0.581082404635	0.647628130653	0.645292360804	0.605170548575	0.694891149507	0.621748250711	0.64386537802	0.590716642142	0.639557259988	0.622999230446	0.654247403357	0.652339225269	0.626283790298	0.582356543629	0.648691103794	0.584608446914	0.630617419919	0.638124153307	0.635711133395	0.591068168118	0.517561738968	0.65071472391	0.630280652626	0.571685960073	0.615167578577	0.623769203542	0.604887985619	0.603880072343	0.605203151166	0.661683573677	0.620276248822	0.635373906163	0.584371965055	0.63593841629	0.653182431516
SRR521174	0.541677101902	0.566293855186	0.556837392249	0.543573826313	0.0	0.567093743121	0.605093102051	0.555612391379	0.58534647955	0.562897591366	0.593430269181	0.600156705358	0.57392608088	0.477786455417	0.630674111942	0.598701899454	0.534727036735	0.601895282267	0.494749104736	0.558388326638	0.603081978358	0.557517310365	0.509753320437	0.562327526611	0.543896297746	0.553495839218	0.549466764441	0.49249354995	0.598191028413	0.566912441109	0.508014509973	0.627794284368	0.616495055149	0.604125000689	0.646232154564	0.58616698048	0.59855428629	0.597470392478	0.593759302623	0.606303780676	0.583918968102	0.605377218672	0.685112824716	0.620676374992	0.5862524836	0.624411960472	0.629140603857	0.586084991349	0.653397570153	0.593459754665	0.614142653054	0.571025850856	0.633918321029	0.577635217798	0.612156473493	0.609006112759	0.59169578414	0.657653560714	0.613343572092	0.628590214509	0.646023767356	0.698186484841	0.674261180898	0.599935262096	0.589373032312	0.640900353506	0.608144000209	0.672399848666	0.620274490664	0.664899335785	0.571304339415	0.617217095004	0.597954813529	0.650430242281	0.593318935628	0.624661026084	0.62740034262	0.536176172597	0.697598571789	0.622524956763	0.562438415524	0.650087997513	0.642695852015	0.650016010247	0.610771782394	0.599247385156	0.651744760685	0.617606963144	0.648507011401	0.635806444199	0.592251147604	0.618922045325
SRR521175	0.558134212493	0.567538254686	0.543782513512	0.529630600597	0.567093743121	0.0	0.505461712997	0.507116597323	0.551956308819	0.548856002386	0.580931352933	0.574984089396	0.495897323741	0.556615703583	0.60535787765	0.553228657594	0.588501876835	0.580227403918	0.571288911348	0.533183852232	0.543938069435	0.525706038611	0.577485782634	0.544018954567	0.563474729626	0.465070041223	0.538926145628	0.516181302167	0.527078160702	0.49737149605	0.560455158212	0.661138162324	0.661306622309	0.524036495926	0.673954898006	0.52164820898	0.641360651582	0.527578658837	0.648497427897	0.62483902093	0.56230667962	0.548278530013	0.633570628478	0.57605096042	0.560194007601	0.653812327872	0.690951442033	0.546952977433	0.599040117336	0.561973107319	0.598210197781	0.619087152551	0.660645633042	0.548613085383	0.516307002196	0.570413988965	0.611037545592	0.597773345016	0.631949595359	0.652905893258	0.641196639085	0.713120369857	0.630319683098	0.650761175887	0.600021752215	0.662539923868	0.635757418657	0.668749510834	0.673863775046	0.658176865194	0.560451020377	0.626841153245	0.609766291774	0.65122653227	0.651046009029	0.662124919859	0.636543191674	0.506772157315	0.677980194548	0.624863441835	0.588703511079	0.631374456315	0.634276702825	0.623826485168	0.632899504984	0.610590222469	0.636180058529	0.636112138492	0.617828576438	0.595752074778	0.636731710717	0.67610172301
SRR521176	0.557732657281	0.567806027711	0.550561046688	0.539079016498	0.605093102051	0.505461712997	0.0	0.497823920353	0.548276799249	0.554333142483	0.566114326662	0.591901935936	0.498398805443	0.575314953666	0.565002218434	0.573389255756	0.555413336609	0.629564813407	0.552286554726	0.560910485892	0.555765653411	0.550586926843	0.602934018621	0.555315366892	0.562982449387	0.500430696383	0.517622676594	0.549036310398	0.564207371825	0.461312237512	0.555141186105	0.655112246258	0.671718034595	0.553864410798	0.666825350003	0.548913955016	0.659541225261	0.526553178555	0.670713265224	0.638984175475	0.552741771234	0.585946017404	0.633910046072	0.591836673751	0.565540046613	0.633990313994	0.690376648336	0.567214109915	0.636315203665	0.569208992206	0.621039025202	0.626797622345	0.677050670971	0.572835712683	0.552398437217	0.560570200475	0.638861066305	0.544876966403	0.630884821895	0.64682354168	0.631508761491	0.72951410347	0.628076393983	0.636120339727	0.578363012276	0.682028342117	0.626170745567	0.68217340563	0.65588074396	0.642790720881	0.551004246141	0.633559894392	0.636081024847	0.634493784151	0.630727624373	0.649095276379	0.613522951288	0.545375231952	0.675459745623	0.610165815908	0.593819781831	0.626036085102	0.628029025136	0.616880431587	0.638360988139	0.615742175395	0.664453584821	0.637303776961	0.649247710482	0.596675043741	0.613895556765	0.68167300548
SRR521177	0.544065421432	0.540432148429	0.553550397986	0.541911380826	0.555612391379	0.507116597323	0.497823920353	0.0	0.516167643242	0.529686484955	0.569527233468	0.573981933466	0.536804728925	0.573635483698	0.544435303818	0.575524953781	0.540793629826	0.603479618029	0.531864236547	0.560452296906	0.471949999652	0.540914889589	0.573912624585	0.520425219859	0.573753789756	0.513690456626	0.474507167398	0.561337103614	0.478319054137	0.497135226008	0.561432167017	0.6139224006	0.602199074074	0.542250179009	0.646494481913	0.533444730164	0.619314930923	0.540686231976	0.619802167408	0.609554315017	0.535823653687	0.55162028869	0.617990396824	0.55139452079	0.571153830095	0.621773195136	0.654508285967	0.556607684706	0.583124538616	0.563344931698	0.585969228857	0.580886092456	0.606906622541	0.545863296778	0.541313153563	0.573942220435	0.55512829492	0.573267922075	0.601216786052	0.603848948254	0.623578458677	0.674244799699	0.607923927898	0.617883494943	0.574253481182	0.620682599967	0.611178320106	0.60444986302	0.633463920571	0.623777609546	0.536597837244	0.60228623101	0.603716072121	0.602706119161	0.601872728618	0.610684729132	0.614547749229	0.515433040603	0.650659031197	0.578387556603	0.544696909333	0.582059780836	0.573919170888	0.569645290971	0.584880634617	0.561245715037	0.645415282057	0.618859947617	0.615311524088	0.540933540703	0.612163852477	0.634508505228
SRR521178	0.563570414802	0.593565548738	0.561552778516	0.554010311554	0.58534647955	0.551956308819	0.548276799249	0.516167643242	0.0	0.535496343394	0.575976605882	0.599388200267	0.548711456463	0.592822075652	0.557209541241	0.567536189468	0.534462059263	0.624951570779	0.568471657506	0.557959210836	0.500584425898	0.555050190307	0.594662614744	0.575738867013	0.547820246817	0.57654618432	0.506391654515	0.568284916159	0.511569238986	0.574094075128	0.561440111345	0.646008255115	0.660314864817	0.572307834907	0.709288230944	0.559532983099	0.648090560166	0.556436732298	0.657685066615	0.655221876803	0.571001840202	0.585883907113	0.627908154934	0.62560876274	0.58940795319	0.67793598868	0.702969361341	0.582609348967	0.585262788375	0.598512793671	0.592788024001	0.65662792584	0.684836576717	0.580212828592	0.57253440854	0.571887375377	0.648091380798	0.593126298843	0.686788415635	0.683648155276	0.638240668244	0.697244494591	0.650408568229	0.64683992732	0.610546485088	0.652084980426	0.647316053411	0.670703903634	0.690128784869	0.644581900672	0.605811428272	0.677474445728	0.622784681584	0.661807266177	0.660823219118	0.629547209115	0.644529703616	0.566907624816	0.676148703899	0.651834757674	0.595645054443	0.656343303785	0.643836996354	0.645495037334	0.639585014497	0.605859927277	0.672424087166	0.676653731966	0.666732443158	0.578903987463	0.666175414602	0.681776228555
SRR521179	0.48021921702	0.522771044078	0.502081665229	0.455964687289	0.562897591366	0.548856002386	0.554333142483	0.529686484955	0.535496343394	0.0	0.560346343362	0.546146741799	0.534977008784	0.56792904661	0.571788244253	0.498137727051	0.459185578215	0.581877242311	0.542471949137	0.5482060489	0.549779790094	0.478320647756	0.536549229081	0.518432942454	0.532565684929	0.566458856419	0.527446531081	0.534570089399	0.562543109026	0.549032890931	0.574877896189	0.592779046388	0.618781279447	0.529115748013	0.62308969114	0.520188925535	0.580342108656	0.555678942387	0.618521856088	0.591540807481	0.570364667721	0.557656667581	0.664891384913	0.604447426522	0.567635535322	0.600816868187	0.646937785199	0.529975275467	0.608469694917	0.582495682876	0.589143832941	0.582511695959	0.60313270411	0.55364074428	0.549785933535	0.602615881078	0.580693096405	0.560541167543	0.606642494838	0.623381071373	0.636138610631	0.663894118341	0.636781754427	0.626399912112	0.561377559788	0.604393726882	0.608451455645	0.645110360934	0.619295263568	0.659481312533	0.531172979946	0.617337214621	0.605951025946	0.612266140036	0.59665298083	0.619534106776	0.613497972191	0.526263044368	0.649712214529	0.605075813021	0.568359809142	0.600690178325	0.574522443418	0.593503766779	0.568135103935	0.574055465662	0.634377643852	0.600490092354	0.631350068016	0.586829530998	0.618603904344	0.637001946769
