	PD_whole_tree	chao1	observed_otus
EM163.441642	23.67446	839.514285714	416.0
EM165.441597	24.38024	957.558441558	443.0
EM166.441748	21.90465	751.388888889	345.0
EM167.441702	21.8258	674.71875	348.0
EM168.441668	27.68441	980.93258427	477.0
EM169.441653	25.50837	811.24137931	439.0
EM170.441651	21.86881	805.491803279	370.0
EM173.441754	26.7631	1137.94285714	480.0
EM174.441652	14.9788	534.689655172	232.0
EM178.441705	24.28771	646.430769231	331.0
EM179.441612	16.08663	569.558823529	330.0
EM180.441692	19.12004	666.066666667	316.0
EM182.441681	15.99251	455.021276596	248.0
EM183.441654	20.84857	630.118644068	329.0
EM209.441665	12.86	457.5	270.0
EM222.441725	27.1232	1203.74193548	456.0
EMC01.441661	24.56277	952.08	435.0
EMC02.441750	22.44452	894.514705882	422.0
EMC03.441713	24.4312	754.033898305	342.0
EMC04.441704	24.29524	1276.0	466.0
EMC05.441628	27.2583	898.015873016	400.0
EMC06.441610	25.78958	987.4	412.0
EMC07.441636	24.91676	815.01754386	365.0
EMC08.441752	24.25408	803.258064516	356.0
EMC09.441635	26.70184	859.48	414.0
