	PD_whole_tree	chao1	observed_otus
ID58	14.71925	306.166666667	143.0
ID59	16.5888	535.0	178.0
ID6	12.33072	452.375	143.0
ID60	10.10525	449.545454545	125.0
ID61	14.28313	334.5	132.0
ID63	14.1507	368.157894737	143.0
ID64	15.69753	574.5625	172.0
ID7	16.91039	499.052631579	166.0
ID8	12.46526	384.391304348	147.0
ID83	11.8675	285.285714286	131.0
ID85	12.21586	338.607142857	151.0
ID86	8.53016	269.333333333	96.0
ID87	12.23827	346.125	144.0
ID89	11.92979	434.571428571	129.0
ID9	16.09744	383.545454545	154.0
ID90	13.54178	417.2	132.0
ID91	10.06244	296.3	122.0
ID92	11.81277	325.461538462	112.0
ID95	16.7593	406.222222222	176.0
ID97	10.28566	237.105263158	110.0
ID98	15.9713	560.272727273	185.0
ID99	13.79868	451.714285714	161.0
ITS3.DD102	20.60258	788.666666667	256.0
ITS3.DD107	20.44156	853.8	268.0
ITS3.DD115	22.5163	1052.45945946	303.0
ITS3.DD116	21.35199	980.903225806	273.0
ITS3.DD119	20.23208	993.677419355	279.0
ITS3.DD136	21.17588	1222.13043478	268.0
ITS3.DD58	20.72486	860.689655172	261.0
ITS3.DIET14	21.85035	1029.72413793	273.0
ITS3.DIET54	21.90968	777.216216216	266.0
ITS3.ID128	21.89875	907.176470588	274.0
