	PD_whole_tree	chao1	observed_otus
ITS3.DD149	8.12904	309.5	62.0
ITS3.DD15	4.20509	86.0	18.0
ITS3.DD151	3.51322	60.5	15.0
ITS3.DD153	3.26195	66.0	11.0
ITS3.DD155	4.0318	71.0	20.0
ITS3.DD17	11.37202	391.857142857	76.0
ITS3.DD18	6.30315	200.333333333	35.0
ITS3.DD20	8.62355	718.0	67.0
ITS3.DD21	8.13738	372.75	54.0
ITS3.DD22	1.5895	6.0	3.0
ITS3.DD23	8.47618	216.142857143	55.0
ITS3.DD24	12.59528	354.75	110.0
ITS3.DD25	4.11213	86.0	18.0
ITS3.DD27	11.13398	266.5	89.0
ITS3.DD28	7.27472	169.25	51.0
ITS3.DD29	17.92407	542.884615385	174.0
ITS3.DD3	7.28021	224.5	52.0
ITS3.DD30	12.07503	365.647058824	114.0
ITS3.DD31	15.5217	690.473684211	171.0
ITS3.DD32	9.32016	226.75	61.0
ITS3.DD33	11.49741	638.75	104.0
ITS3.DD34	14.16648	409.0	118.0
ITS3.DD36	6.04687	317.333333333	44.0
ITS3.DD38	10.36537	338.214285714	101.0
ITS3.DD39	0.0	0.0	0.0
ITS3.DD4	13.13162	555.866666667	134.0
ITS3.DD41	0.68157	1.0	1.0
ITS3.DD42	1.14211	3.0	2.0
ITS3.DD43	2.6312	45.0	9.0
ITS3.DD44	8.1815	159.0	40.0
ITS3.DD45	7.9595	276.6	75.0
ITS3.DD46	14.92612	712.625	164.0
ITS3.DD47	7.48127	135.666666667	49.0
ITS3.DD48	12.54015	474.25	110.0
ITS3.DD5	10.60198	462.0	93.0
ITS3.DD51	5.85481	107.6	32.0
ITS3.DD53	12.92828	297.285714286	115.0
ITS3.DD58	25.66434	1214.69230769	358.0
ITS3.DD59	7.78914	348.0	54.0
ITS3.DD6	0.69758	1.0	1.0
ITS3.DD60	1.35986	6.0	3.0
ITS3.DD61	6.91004	667.0	37.0
ITS3.DD63	1.04571	1.0	1.0
ITS3.DD64	0.69766	1.0	1.0
ITS3.DD65	9.73854	265.272727273	82.0
ITS3.DD67	4.92703	71.0	20.0
ITS3.DD68	11.32502	592.0	94.0
ITS3.DD7	10.61736	458.0	98.0
ITS3.DD70	4.41825	210.0	20.0
ITS3.DD75	6.38362	317.333333333	44.0
ITS3.DD77	3.73822	231.0	21.0
ITS3.DD79	5.84713	167.333333333	32.0
ITS3.DD80	3.02913	78.0	12.0
ITS3.DD84	6.00852	213.0	37.0
ITS3.DD85	4.41436	210.0	20.0
ITS3.DD86	5.14037	164.0	26.0
ITS3.DD87	4.86312	164.0	26.0
ITS3.DD89	2.65188	41.5	14.0
ITS3.DD90	6.42196	159.0	35.0
ITS3.DD92	0.97736	6.0	3.0
ITS3.DD96	15.35031	743.352941176	171.0
ITS3.DD98	16.11724	838.588235294	190.0
ITS3.DD99	8.44012	389.5	58.0
ITS3.DIET14	32.21603	1344.8	507.0
ITS3.DIET16	13.20437	791.0	112.0
ITS3.DIET18	9.87758	411.2	69.0
ITS3.DIET20	15.07343	628.0	166.0
ITS3.DIET22	19.1017	776.8	203.0
ITS3.DIET25	0.82392	1.0	1.0
ITS3.DIET31	15.46063	530.15	155.0
ITS3.DIET34	3.2563	91.0	13.0
ITS3.DIET37	1.90045	10.0	4.0
ITS3.DIET4	15.91189	630.142857143	180.0
ITS3.DIET43	9.4149	194.769230769	72.0
ITS3.DIET49	0.0	0.0	0.0
ITS3.DIET52	0.0	0.0	0.0
ITS3.DIET54	21.90968	777.216216216	266.0
ITS3.DIET56	17.91994	484.107142857	180.0
ITS3.DIET6	12.35908	301.2	101.0
ITS3.DIET8	13.99235	912.272727273	150.0
ITS3.ID100	0.81957	1.0	1.0
ITS3.ID103	3.34845	45.0	9.0
ITS3.ID104	5.58522	528.0	32.0
ITS3.ID106	3.109	28.0	10.0
