	SRR515153	SRR518987	SRR521172	SRR521173	SRR521174	SRR521175	SRR521176	SRR521177	SRR521178	SRR521179	SRR521180	SRR521181	SRR521182	SRR521183	SRR521184	SRR521185	SRR521186	SRR521187	SRR521188	SRR521189	SRR521190	SRR521191	SRR521192	SRR521193	SRR521194	SRR521195	SRR521196	SRR521197	SRR521198	SRR521199	SRR521200	SRR521201	SRR521202	SRR521203	SRR521204	SRR521205	SRR521206	SRR521207	SRR521208	SRR521209	SRR521210	SRR521211	SRR521212	SRR521213	SRR521214	SRR521215	SRR521216	SRR521217	SRR521219	SRR521220	SRR521221	SRR521222	SRR521223	SRR521224	SRR521225	SRR521226	SRR521227	SRR521228	SRR521229	SRR521230	SRR521231	SRR521232	SRR521233	SRR521234	SRR521235	SRR521236	SRR521237	SRR521238	SRR521239	SRR521240	SRR521241	SRR521242	SRR521243	SRR521244	SRR521245	SRR521246	SRR521247	SRR521248	SRR521249	SRR521250	SRR521251	SRR521252	SRR521253	SRR521254	SRR521255	SRR521256	SRR521257	SRR521258	SRR521259	SRR521260	SRR521261	SRR521262	SRR521263	SRR521264	SRR521265
SRR515153	0.0	0.459327346267	0.453626201961	0.523524573976	0.555525216168	0.570458341913	0.555936840648	0.537987721428	0.534147893147	0.510189545217	0.566259502287	0.587544869363	0.532532536944	0.528679664167	0.535646246278	0.545925951359	0.527019047113	0.582977979391	0.556018839174	0.544513409562	0.539100927158	0.544086931273	0.535709761081	0.470305413857	0.480387025515	0.522535373025	0.542697667236	0.543515497802	0.53998394232	0.529398325399	0.569386420684	0.627427054707	0.63280338736	0.542084026908	0.656343796357	0.538475948643	0.614365727031	0.554517501925	0.610576149118	0.584144072266	0.685046879148	0.5588192744	0.554176976462	0.613299778113	0.562362387497	0.581726197648	0.603313233128	0.67904774168	0.571675596862	0.6232124319	0.582629764202	0.576242935173	0.572380143661	0.634384669141	0.558349407357	0.536246111917	0.570032884985	0.802017446381	0.59791814258	0.556727256641	0.644129722227	0.61302640798	0.621609656969	0.684002322106	0.591847273336	0.597857903014	0.576281055365	0.624214420951	0.583316041829	0.630458840446	0.637913198171	0.593201986744	0.554768894615	0.625742755868	0.553666325783	0.637829099894	0.619896576796	0.608564472537	0.611676682137	0.529547250634	0.657648488822	0.616636774006	0.585937741237	0.568500335722	0.609729884757	0.59686776772	0.586903107963	0.599433358716	0.593772712773	0.651334518539	0.645191351085	0.626420080539	0.544891518914	0.610980233447	0.6204642521
SRR518987	0.459327346267	0.0	0.462442244728	0.566793972286	0.543085969216	0.571509946584	0.583538015817	0.558348176023	0.542729139582	0.517837726154	0.568352548678	0.586792775375	0.549233696353	0.535226087875	0.543214275042	0.532830951514	0.534666586947	0.59348198623	0.536698788445	0.562945738977	0.542184365577	0.573939419996	0.551838782231	0.500903352338	0.467377088253	0.540217358049	0.548289991819	0.571649872777	0.582240176246	0.559011827258	0.579660915375	0.640622300777	0.649526677447	0.557657672772	0.647995237589	0.546996928438	0.64815294404	0.554559443408	0.633702443792	0.583051162407	0.709500180394	0.574857745918	0.575524677114	0.636854441556	0.586553992657	0.600087670494	0.60813637291	0.660568764451	0.561835188646	0.636145488188	0.592122394986	0.58290586768	0.58091538145	0.627336131664	0.576343584917	0.565791483642	0.552350489128	0.810875600705	0.613074092338	0.571271374347	0.649389761704	0.628367890387	0.611227139871	0.673905243617	0.615419912325	0.613483860909	0.588535805775	0.629616228824	0.615405957274	0.635275921869	0.629042658022	0.600491985941	0.566718911201	0.620233551672	0.564775070365	0.64705406075	0.625892774308	0.625561189431	0.589994249975	0.540796793585	0.660859474617	0.626501829941	0.586839293492	0.588907824812	0.598518775814	0.605622111633	0.62153522871	0.614855061313	0.589461425866	0.650509699109	0.631219679732	0.643098220384	0.577215706691	0.615994269146	0.612137136143
SRR521172	0.453626201961	0.462442244728	0.0	0.548904248087	0.518566846083	0.56137519694	0.550956586469	0.528945175367	0.499917854755	0.541127663537	0.547459597972	0.570883966014	0.55029145875	0.526341365327	0.531859152496	0.525927301611	0.504321146578	0.584071517037	0.521350509625	0.549565247507	0.537360868788	0.556461647406	0.540484309079	0.491614152458	0.488268995461	0.544539690574	0.529607457785	0.549659121626	0.552998599658	0.52144781048	0.560591937517	0.640956149677	0.648737830312	0.548899229028	0.654388292351	0.515248657387	0.670742873231	0.568849466423	0.625390698483	0.615732085318	0.715256237282	0.554030370076	0.573415376329	0.614600945513	0.565406681647	0.58838584824	0.608170958406	0.669275605927	0.547508945784	0.630255012986	0.556332697647	0.56393884631	0.594925001791	0.634650222755	0.545738991732	0.539623204156	0.543081510795	0.816816535439	0.637956787358	0.567374137163	0.651163553529	0.619231409547	0.612313601011	0.681249334296	0.610500634555	0.599665003695	0.604176971472	0.623258489886	0.607146087101	0.625788593287	0.638167017026	0.602080066882	0.560200704398	0.62214973827	0.599157654891	0.647003380412	0.631996005468	0.640105366134	0.599821461799	0.528197913191	0.679639320929	0.600022948394	0.594838427675	0.605954997757	0.624192924689	0.610650552783	0.623052848946	0.635627107192	0.604649248202	0.648641130073	0.643191938455	0.641434816846	0.576961738737	0.618664427084	0.616176234787
SRR521173	0.523524573976	0.566793972286	0.548904248087	0.0	0.546300288313	0.548081438129	0.531829723554	0.5516299619	0.534148028666	0.513063655034	0.529002388897	0.584415226577	0.548348529063	0.530497556409	0.557449124864	0.541842160999	0.523473118565	0.611457707407	0.555284607976	0.562921781275	0.542730570323	0.508686230865	0.554912483622	0.524461750056	0.553356311836	0.548884530451	0.545524678941	0.554655203217	0.543692295546	0.529851382301	0.560965986681	0.659633321772	0.657887347906	0.58734963825	0.684735995587	0.542260284008	0.653744551196	0.560770193248	0.651585954519	0.61441317079	0.71853259557	0.577832762917	0.565835761977	0.611865961324	0.591923934326	0.600087333366	0.627935777016	0.675655439289	0.58671750651	0.631845965397	0.605229401509	0.605323735116	0.625254456536	0.668320875347	0.578838521557	0.533216622935	0.55739274707	0.818952944856	0.652127812294	0.585398844506	0.684634285522	0.658932420712	0.638013172459	0.714358691083	0.640075203153	0.64720116684	0.618592781259	0.657081042439	0.625995197226	0.642060731024	0.654753961815	0.604973502926	0.60859412938	0.658204399746	0.594438708649	0.665268301332	0.646213781182	0.657687281593	0.606568202791	0.551144206275	0.692779359803	0.651960446822	0.643601573184	0.603095888197	0.651013920449	0.665011627467	0.614675310037	0.63551941124	0.623354472602	0.672728805015	0.655832186964	0.657236015352	0.580724518919	0.632944713425	0.629367634254
SRR521174	0.555525216168	0.543085969216	0.518566846083	0.546300288313	0.0	0.566248154717	0.603822022885	0.547570216914	0.536948627384	0.564992906402	0.5690631819	0.592575353564	0.568048405039	0.477968318928	0.552704454652	0.564604900158	0.532968466731	0.601786203912	0.472213425258	0.563633062157	0.559663641048	0.568714808374	0.529865356157	0.543656867139	0.565112355936	0.541920747498	0.55208636475	0.501517590716	0.547201676108	0.545291893356	0.494857004172	0.641064287572	0.639335594043	0.581338935475	0.677573555938	0.582790164662	0.660609915016	0.59366730078	0.633163154785	0.605030631095	0.713173192841	0.572667189517	0.574508675268	0.642392633151	0.591771788561	0.579983391184	0.631183819613	0.656512811255	0.577464077894	0.634188246688	0.575571097371	0.596511366939	0.595919253573	0.648109254837	0.560456619573	0.57383673159	0.563904557089	0.804954162876	0.61729166818	0.602168574812	0.63028172322	0.634776107626	0.632115379415	0.723251704579	0.625747076087	0.577590713666	0.59193993837	0.629484890047	0.59837263829	0.637259719501	0.599705920496	0.618113261014	0.574989603146	0.628632039215	0.587939641789	0.638982658557	0.605538312956	0.635407711721	0.583752203996	0.546132169471	0.673803897263	0.637396338522	0.629790061585	0.585276946918	0.627256455477	0.643768020771	0.636112934691	0.60151070897	0.59721593976	0.654519015726	0.646352439882	0.648306775265	0.60458027456	0.577665367506	0.627121742413
SRR521175	0.570458341913	0.571509946584	0.56137519694	0.548081438129	0.566248154717	0.0	0.509582896639	0.52860995043	0.544187516721	0.557009036989	0.556758332585	0.565573223902	0.475509112513	0.530414564758	0.56227085192	0.559587170246	0.545117764847	0.594158530792	0.551727094375	0.534050913835	0.513198856129	0.544664718786	0.559496305849	0.531825793366	0.558046293715	0.4849790156	0.54210004693	0.529386150604	0.532135755706	0.485667030804	0.555441195965	0.688216375542	0.682822720988	0.558151756515	0.706631011028	0.535134446277	0.684943414129	0.543457474267	0.675300407867	0.647723221236	0.708387721296	0.57294986728	0.520571572633	0.609073916626	0.571576340649	0.582799049763	0.68414944459	0.712968999471	0.57351757361	0.606187372902	0.578222605476	0.60004223225	0.656019212359	0.689566124436	0.560460162674	0.513907552893	0.54671983003	0.821146913629	0.650277172523	0.601109506012	0.65937248941	0.680935678462	0.66014856784	0.722030114532	0.643163191018	0.642493836498	0.631095842801	0.677551352445	0.638181856909	0.672321492516	0.675261102757	0.656571411531	0.583157660123	0.647655941426	0.597219719211	0.677895603993	0.67307102175	0.685363536303	0.637159956405	0.511022583174	0.708449960597	0.678986164257	0.664192928384	0.625854443968	0.647458719047	0.65581398267	0.64783859652	0.655053501528	0.654362307938	0.671576413692	0.686240133174	0.657713416522	0.59859071039	0.661342680914	0.664342681601
SRR521176	0.555936840648	0.583538015817	0.550956586469	0.531829723554	0.603822022885	0.509582896639	0.0	0.522855025645	0.536739733298	0.57618427822	0.551092515817	0.589255297847	0.491483130106	0.533917294701	0.55595803046	0.552195630498	0.546374934008	0.620299804699	0.559634730025	0.561600259418	0.544163928892	0.562154911118	0.568187546422	0.54207137677	0.540890041844	0.503792089914	0.504749723917	0.553025161646	0.539009434654	0.473184626608	0.562281937193	0.682388148034	0.684077782198	0.587966401937	0.688758091001	0.56483282865	0.679275118191	0.530281841283	0.672098785924	0.62112901042	0.722083640521	0.588151324463	0.578209749072	0.628285125652	0.59550994783	0.602358088328	0.628814993527	0.723441604293	0.592784336957	0.645448260317	0.597625498039	0.61727522665	0.653441857195	0.698465166693	0.591326531348	0.55292792129	0.561483760594	0.820738059414	0.67162089598	0.583192257635	0.667238303877	0.657157021201	0.613866002825	0.730208501697	0.649717300748	0.647121141782	0.617677850964	0.689638253772	0.638423538868	0.658972486206	0.625353050028	0.632010428123	0.601372603599	0.663037748457	0.609628723758	0.671724792303	0.645773505274	0.666880865704	0.602500461716	0.535097189858	0.707960968763	0.653244977981	0.6473393282	0.627551683655	0.625279485821	0.66221652309	0.64713339937	0.657645400049	0.661404492478	0.696495676677	0.668881774109	0.656915293898	0.575618759082	0.636919010628	0.653870525494
SRR521177	0.537987721428	0.558348176023	0.528945175367	0.5516299619	0.547570216914	0.52860995043	0.522855025645	0.0	0.480580903878	0.556397550076	0.566205990205	0.578902838509	0.537208707753	0.544081910882	0.545506009078	0.558837278119	0.545777653576	0.588292544666	0.547757441139	0.550256019421	0.482467933224	0.558978053988	0.531644186019	0.520890819662	0.564505203522	0.517185655707	0.471893470884	0.547883000583	0.481682383106	0.505223600352	0.562533336494	0.656496737989	0.654670334671	0.546261691276	0.685399923214	0.533131293197	0.660174640457	0.569250723655	0.634952532437	0.625288642844	0.684327465971	0.557268832707	0.554908082996	0.604686391519	0.55331628576	0.573684395639	0.643282718893	0.69324507936	0.574759294572	0.583205683435	0.560811528365	0.571068791294	0.612602339566	0.645864971327	0.561084823737	0.554593633107	0.553435318732	0.805282377859	0.597275590446	0.598105815124	0.652232062129	0.643765617362	0.628435546999	0.693149211115	0.597113062346	0.61578520613	0.603474085336	0.648585510598	0.612760712664	0.621675715488	0.629677783681	0.606707569294	0.576538091576	0.636062468211	0.592435281766	0.62902466698	0.637779295144	0.620419338649	0.605040790077	0.527905369754	0.666557143359	0.658582733364	0.631721443991	0.572292993514	0.595552332368	0.617507763841	0.600009068608	0.605042762149	0.599744130146	0.656562620098	0.662093833573	0.642662906285	0.533939898763	0.620933167708	0.637423572704
SRR521178	0.534147893147	0.542729139582	0.499917854755	0.534148028666	0.536948627384	0.544187516721	0.536739733298	0.480580903878	0.0	0.509177052848	0.535429833174	0.574448368463	0.528341042138	0.515336821788	0.542759440075	0.535511714549	0.511287533356	0.586102522934	0.5208987132	0.526256630964	0.454149802971	0.54025639668	0.527474334595	0.537633936078	0.518839054292	0.525424587448	0.478596739828	0.542892954108	0.461800351037	0.530453144486	0.54069842814	0.65085795361	0.666157941019	0.532265459272	0.696958003681	0.529651628572	0.676945130112	0.548840718325	0.640907852377	0.64527972963	0.683930012542	0.55322894185	0.544233096082	0.602553462265	0.572710289433	0.588494587839	0.657185765367	0.69441747822	0.538138270919	0.591133273901	0.587096517981	0.545819263951	0.628712146097	0.660741097142	0.531637588945	0.531140717156	0.544889071239	0.814281391113	0.631003686089	0.572586316987	0.651629694242	0.659494491591	0.635039851041	0.699458315149	0.617515893649	0.625346005817	0.600282269443	0.63784050462	0.613234896452	0.634827394636	0.652249720484	0.592262396184	0.58705196182	0.645624422405	0.590738218988	0.644674342723	0.652425036737	0.61412928542	0.619105459143	0.48948479917	0.670922548419	0.648269105846	0.624396006029	0.585846807487	0.623516102519	0.617913592283	0.607699864821	0.616734424548	0.58091437984	0.67431203987	0.680055420346	0.652742076509	0.52870858777	0.634134680694	0.635590761556
SRR521179	0.510189545217	0.517837726154	0.541127663537	0.513063655034	0.564992906402	0.557009036989	0.57618427822	0.556397550076	0.509177052848	0.0	0.570326897036	0.570828279831	0.547960071993	0.531792458776	0.548128142397	0.504166372317	0.489315676376	0.590784521916	0.559531684248	0.541441558877	0.532843051152	0.502058823253	0.523732024892	0.524351750191	0.521904083015	0.551567413848	0.549198509968	0.562046559792	0.55793034883	0.557626520026	0.584714706934	0.613188746256	0.632405687965	0.537654611613	0.656367329228	0.554073741281	0.612755988739	0.560652368136	0.644936121136	0.597954521749	0.69419196825	0.576669187721	0.56034271416	0.649093698892	0.582783060977	0.600706107382	0.622335675161	0.635621147646	0.54588436815	0.619274873339	0.620561233377	0.586313622432	0.588352504068	0.63345851508	0.582590741276	0.55555338055	0.597021193719	0.806867447169	0.605433488408	0.576112014018	0.640159965246	0.635310050071	0.650341892777	0.672912429808	0.640464336158	0.616506289156	0.593093182008	0.622764337905	0.615984703544	0.617266408509	0.632320648494	0.61300505184	0.573430910162	0.622635545399	0.59372214772	0.636430459336	0.622580606999	0.63236693758	0.614573787606	0.543425348631	0.664347076005	0.635481080816	0.615432056412	0.59732426539	0.609889686149	0.609071631731	0.589942132513	0.595630653826	0.589533223301	0.642307661777	0.633279930378	0.644565489009	0.589941389897	0.61063292178	0.63428743636
