#SampleID	Lean	Obese
TS1.299139	0.518518518518518	0.481481481481481
TS10.299123	0.0944444444444444	0.905555555555556
TS100.298999	0.171122994652406	0.828877005347594
TS103.299049	0.128834355828221	0.871165644171779
TS104.299154	0.161290322580645	0.838709677419355
TS105.299210	0.167701863354037	0.832298136645963
TS106.299035	0.154255319148936	0.845744680851064
TS107.299042	0.127551020408163	0.872448979591837
TS109.299099	0.256410256410256	0.743589743589744
TS11.298996	0.233532934131737	0.766467065868264
TS110.299019	0.214689265536723	0.785310734463277
TS111.299174	0.350515463917526	0.649484536082474
TS115.298998	0.142131979695431	0.857868020304569
TS116.299165	0.295698924731183	0.704301075268817
TS117.298949	0.236263736263736	0.763736263736264
TS118.299163	0.141361256544503	0.858638743455497
TS119.299110	0.154761904761905	0.845238095238095
TS12.299104	0.0893854748603352	0.910614525139665
TS120.298992	0	1
TS124.298945	0.15606936416185	0.84393063583815
TS126.299046	0.197802197802198	0.802197802197802
TS127.299133	0.32972972972973	0.67027027027027
TS128.299117	0.317365269461078	0.682634730538922
TS129.299204	0.181395348837209	0.818604651162791
TS13.299018	0.603448275862069	0.396551724137931
TS130.299178	0.111111111111111	0.888888888888889
TS131.299040	0.176136363636364	0.823863636363636
TS132.299044	0.228571428571429	0.771428571428571
TS133.299149	0.133333333333333	0.866666666666667
TS134.299196	0.119565217391304	0.880434782608696
TS135.299142	0.216666666666667	0.783333333333333
TS137.298959	0.224043715846995	0.775956284153005
TS138.299141	0.157232704402516	0.842767295597484
TS139.299195	0.183783783783784	0.816216216216216
TS14.299212	0.516129032258065	0.483870967741935
TS140.298995	0.145945945945946	0.854054054054054
TS141.299084	0.145833333333333	0.854166666666667
TS142.299170	0.101604278074866	0.898395721925134
TS143.299098	0.218085106382979	0.781914893617021
TS144.298946	0.216216216216216	0.783783783783784
TS145.298950	0.346938775510204	0.653061224489796
TS146.299014	0.331521739130435	0.668478260869565
TS147.299111	0.164835164835165	0.835164835164835
TS148.299000	0.320224719101124	0.679775280898876
TS149.298994	0.475675675675676	0.524324324324324
TS150.299173	0.397058823529412	0.602941176470588
TS151.299215	0.252631578947368	0.747368421052632
TS152.299135	0.273684210526316	0.726315789473684
TS155.299082	0.0984455958549223	0.901554404145078
TS156.299155	0.17877094972067	0.82122905027933
TS16.299068	0.352631578947368	0.647368421052632
TS160.298976	0.12568306010929	0.87431693989071
TS161.299188	0.0607734806629834	0.939226519337017
TS162.299124	0.313953488372093	0.686046511627907
TS163.299072	0.132183908045977	0.867816091954023
TS164.299125	0.135135135135135	0.864864864864865
TS165.298951	0.214285714285714	0.785714285714286
TS166.299085	0.257668711656442	0.742331288343558
TS167.299073	0.225641025641026	0.774358974358974
TS168.299115	0.348258706467662	0.651741293532338
TS169.298977	0.331428571428571	0.668571428571429
TS17.299122	0.0609137055837563	0.939086294416244
TS170.299156	0	1
TS178.299126	0.0860215053763441	0.913978494623656
TS179.298987	0.162011173184358	0.837988826815642
TS180.299063	0.204678362573099	0.795321637426901
TS181.299047	0.181818181818182	0.818181818181818
TS183.298979	0.155555555555556	0.844444444444444
TS184.299203	0.0402298850574713	0.959770114942529
TS185.299148	0.111702127659574	0.888297872340426
TS19.298958	0.373563218390805	0.626436781609195
TS190.299218	0.236263736263736	0.763736263736264
TS191.299146	0.178743961352657	0.821256038647343
TS193.299075	0.111702127659574	0.888297872340426
TS194.299181	0.227272727272727	0.772727272727273
TS195.299150	0.152941176470588	0.847058823529412
TS2.299130	0.629268292682927	0.370731707317073
TS20.299059	0.497076023391813	0.502923976608187
TS21.299189	0.604060913705584	0.395939086294416
TS22.299221	0.367875647668394	0.632124352331606
TS23.299159	0.169398907103825	0.830601092896175
TS25.299024	0.479041916167665	0.520958083832335
TS26.299185	0.634920634920635	0.365079365079365
TS27.299223	0.585365853658537	0.414634146341463
TS28.299120	0.516666666666667	0.483333333333333
TS29.298974	0.229411764705882	0.770588235294118
TS31.299055	0.627659574468085	0.372340425531915
TS32.299074	0.306451612903226	0.693548387096774
TS34.299217	0.108108108108108	0.891891891891892
TS35.298981	0.18	0.82
TS37.299147	0.18848167539267	0.81151832460733
TS39.299167	0.28735632183908	0.71264367816092
TS4.299175	0.403409090909091	0.596590909090909
TS43.299095	0.12972972972973	0.87027027027027
TS44.299183	0.0722222222222222	0.927777777777778
TS49.298982	0.46242774566474	0.53757225433526
TS5.299045	0.436363636363636	0.563636363636364
TS50.299027	0.471204188481675	0.528795811518325
TS51.299145	0.507177033492823	0.492822966507177
TS55.298947	0.224598930481283	0.775401069518717
TS56.299021	0.323699421965318	0.676300578034682
TS57.299197	0.2	0.8
TS6.299086	0.318918918918919	0.681081081081081
TS61.299129	0.0284090909090909	0.971590909090909
TS62.299066	0.120603015075377	0.879396984924623
TS63.299005	0.220238095238095	0.779761904761905
TS65.299182	0.327868852459016	0.672131147540984
TS66.299194	0.373626373626374	0.626373626373626
TS67.299039	0.0574712643678161	0.942528735632184
TS68.299202	0.195979899497487	0.804020100502513
TS69.299058	0.251366120218579	0.748633879781421
TS7.299061	0.535714285714286	0.464285714285714
TS70.299093	0.241206030150754	0.758793969849246
TS71.298968	0.18848167539267	0.81151832460733
TS72.299209	0.207446808510638	0.792553191489362
TS73.299077	0.201149425287356	0.798850574712644
TS74.299177	0.107142857142857	0.892857142857143
TS75.299153	0.0846560846560847	0.915343915343915
TS76.299071	0.181818181818182	0.818181818181818
TS78.299102	0.031413612565445	0.968586387434555
TS8.299198	0.673913043478261	0.326086956521739
TS82.299048	0.0681818181818182	0.931818181818182
